PART NUMBER,E/P,Alloy,Spec,Size,Gr. Wt.,Mults ,Yields,2014 Price,2015 price
2486M76 P01,CF34-10,6-4,C50TF12D, 6.00 ,24.9,1, 1 = 1,"1,655","1,622"
2509M66 P01,GENX,7050,AMS 4108, 13.00 ,316.0,4, 1 = 1,477,467
3025T28 P02,F404,H X,AMS 5754, 6.00 ,95.1,1, 1 = 1 (8),"2,581","2,529"
3030T89 P01 (5039T62 P02),T58,Wasp P,C50TF90, 4.00 ,32.4,1, 1 = 1,"1,226","1,201"
3036T82 P01 (5124T92 / 5125T05),T700,718,B50TF15, 6.00 ,51.5,1, 1 = 1,"1,499","1,469"
4011T35 P01 (4022T36 P03),T64,Wasp P,C50TF90, 6.00 ,100.1,2, 1 = 1,"2,094","2,052"
4013077-388 P05,LM2500,718 T,C50TF103, 8.00 ,230.7,2, 1 = 1,"3,910","3,832"
4013077-932 P06,LM2500,718 T,C50TF103, 6.00 ,61.1,1, 1 = 1,"2,209","2,165"
4013077-932 P06 (9686M62 P11),TF39,718 T,C50TF103, 6.00 ,61.1,1, 1 = 1,"3,222","3,158"
4013082-477 P01 (6053T29 G01),T700,718,B50TF15, 4.00 ,36.5,1, 1 = 1 (5),795,779
4013082-480 P01 (6053T29 G01),T700,718,B50TF15, 4.00 ,17.4,2, 1 = 1,188,184
4013082-719 P01 (L21640 P04),LM2500,GRK ASC,AMS 5616, 6.00 ,153.0,1, 1 = 1,811,795
4013082-788 P05 (4013382-061 P01),F100,718,B50TF15, 8.00 ,125.5,1, 1 = 1,"3,189","3,125"
4013082-800 P04,F110,6-2-4-2,C50TF7, 10.00 ,521.0,1, 1 = 1,"27,366","26,819"
4013083-304 P03,LM2500,6-4,C50TF12 A, 14.00 ,400.6,1, 1 = 1,"15,470","15,161"
4013083-309 P03,LM2500,6-4,C50TF12 A, 10.00 ,217.1,2, 1 = 1,"5,213","5,109"
4013083-428 P02,LM2500,6-4,C50TF12 A, 14.00 ,524.2,1, 1 = 1,"20,394","19,986"
4013083-507 P02,CF6,718 T,C50TF103, 8.00 ,220.7,4, 1 = 1,"1,258","1,233"
4013083-508 P04,LM6000,718 P,C50TF37, 12.00 ,303.0,1, 1 = 4,"5,271","5,166"
4013083-509 P09,CF6/LM6000,718 P,C50TF37, 10.00 ,251.0,4, 1 = 1,"1,125","1,103"
4013083-510 P04 (9186M73P03 / 9190M24G03 / 9687M67G26),TF39,R41,C50TF11, 9.50 ,154.3,1, 1 = 1,"4,731","4,636"
4013084-277 P07 (1285M49 G03),F110,718,B50TF15, 10.00 ,292.0,1, 1 = 1,"5,199","5,095"
4013084-441 P01 (6053T29 G01),T700,718,B50TF15, 6.00 ,99.3,6, 1 = 1,295,289
4013084-736 P02 (9137M82 P02),TF39,718 T,C50TF103, 8.00 ,266.7,1, 1 = 1,"8,903","8,725"
4013084-737 P03 (9137M83 P02),TF39,718 T,C50TF103, 8.00 ,275.7,1, 1 = 1,"8,617","8,445"
4013095-622 P01 (6078T62),,6061,AMS 4127, 9.25 ,63.7,1, 1 = 1,"2,200",2.156
4013115-723 (6026T51 G02),F404-100/400,6061,AMS 4127, 7.25 ,28.6,5, 1 = 1,62,61
4013115-724 (6026T51 G02),F404-100/400,6061,AMS 4127, 7.25 ,52.2,4, 1 = 1,108,106
4013196-044 P01 / P02,LM2500,718,B50TF15, 14.00 ,767.0,5, 1 = 1,"2,754","2,699"
4013196-891 P06 / P07,F110,6-4,AMS 4928, 8.00 ,138.8,4, 1 = 1,"1,609","1,577"
4013201-508 P02 (L25454 P03),LM2500,6-4 CH,C50TF12 E, 10.00 ,239.9,1, 1 = 1,"12,415","12,167"
4013201-813 P02,LM2500,718,B50TF15, 10.00 ,285.9,2, 1 = 1,"2,894","2,836"
4013287-242 P04 (9218M24 P14),CF6,R41,B50TF75, 9.50 ,137.3,1, 1 = 1,"5,671","5,558"
4013287-486 P01 (L21315 G03),LM2500,321,AMS 5645, 12.00 ,346.1,1, 1 = 1,"1,868","1,831"
4013287-561 P06 / P07,F110,6-4,AMS 4928, 14.00 ,964.6,1, 1 = 1,"36,262","35,537"
4013287-648 P01 (9911M68 P03),F110/F118,A286,AMS 5735, 3.50 ,12.9,1, 1 = 1,355,348
4013287-653 P01 (L21315 G03),LM2500,321,AMS 5645, 12.00 ,321.0,1, 1 = 1,"1,974","1,935"
4013382-076 P03,F110,R41,B50TF110, 9.50 ,373.3,4, 1 = 1,"2,190","2,146"
4013382-376 P03 (9999M78 P09),CFM56,R41,B50TF110, 6.00 ,172.0,2, 1 = 1,"2,685","2,631"
4013382-770 P01,CF6-50,H X,AMS 5754,8.00,166,2, 1 = 1,"2,759","2,704"
4013382-788 P01 (9646M10 P04),LM2500,4340,AMS 6415, 12.00 ,484.8,4, 1 = 1,578,566
4013382-789 P01 (L14405 P02),LM2500,4340,AMS 6415, 14.00 ,934.0,5, 1 = 1,896,878
4013382-804 P01,LM2500,718,C50TF6, 4.00 ,43.4,1, 1 = 1,"1,170","1,147"
4013382-969 P01,LM2500,718,B50TF15, 10.00 ,198.2,2, 1 = 1,"2,311","2,265"
4013382-981 P02  (1847M82),GE90 Base,R41,B50 TF110, 9.50 ,351.2,2, 1 = 1,"8,677","8,503"
