ID ,Finished Part Number ,QPE ,Forging Part Number ,Nomenclature ,"Finished Part L (+.010 Tol.) ","Finished Part ID (-.005 Tol.) ",Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,Drawing/Contour ,Current Supplier ,Current Price ,Winning Supplier ,,,Supplier Win % ,Updated percentages,2016 Price ,2017 Price ,YOY ,Mat. Type,VSE Intiated,VSE Phase ,Supplier Commit ,Shape Completed,Machining Supplier ,Machine Supplier % ,Change,Indirect PA,EP,,Old %,,New %,,notes
17,2463M44P05,2,2463M44P05.000R,"SHRD,CMSTR-S4",1.046,13.981,15.129,17-4PH,AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.),,Carlton Forge,$238.75,Alcoa China,,,30,0,$144,$137 ,5%,17-4PH,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,,,,,,
18,2463M44P06,4,2463M44P06.000R,"SHRD,CMSTR-S4",1.046,13.981,15.129,17-4PH,AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.),,Carlton Forge,$238.75,Alcoa China,,,30,100,$150,$143 ,5%,17-4PH,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
12,2463M42P07,2,2463M42P07.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4168,,Carlton Forge,$295.00,GATD,0.7,0.5,70,50,$50,$48 ,5%,Al,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,35," $3,850.00 ",$25.00 ,"$2,750.00 ",
19,2463M44P07,5,2463M44P07.000R,"SHRD,CMSTR-S4",1.046,13.981,15.129,17-4PH,AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.),,Carlton Forge,$238.75,Alcoa China,,,30,100,$149,$142 ,5%,17-4PH,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
13,2463M42P08,3,2463M42P08.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4169,,Carlton Forge,$295.00,GATD,0.7,0.5,70,50,$50,$48 ,5%,Al,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,35," $3,850.00 ",$25.00 ,"$2,750.00 ",
20,2463M44P08,1,2463M44P08.000R,"SHRD,CMSTR-S4",1.046,13.981,15.129,17-4PH,AMS 5643 (H1150 HT Cond.) or AMS 5604 (H1150 HT Cond.),,Carlton Forge,$238.75,Alcoa China,,,30,100,$149,$142 ,5%,17-4PH,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
111,2542M43P01(P02),1,2542M43P01.000R,"NUT PLAIN, ROUND -NUMBER 3 BALL BEA",0.61,7.195,7.88,4340,AMS 6414,,GMTC,$56.52,GATD,0.3,0.3,30,30,$50,$48 ,5%,4340,,,,,FAST ,30%,GATD 30%,,Leap-1B,40,15, $600.00 ,$15.00 ,$600.00 ,
51,2552M30G01,1,2552M30G01.002R,"SHRD,HPC,IGV",0.915,8.087,9.505,Al,AMS 4132,,Carlton Forge,$217.33,Alcoa Fontana,,,20,100,$175,$166 ,5%,Al,,,,,B&F,50%,,,Leap-1B,,,,,,
132,2552M32P01,2,2552M32P01.000R,"SHROUD, COMPRESSOR STATOR- STAGE 2",1.156,12.417,13.8196,AL 2219,"AMS 4143 or AMS 4144 or AMS 4163",,BAR,$137.72,GATD,0.7,0.5,70,50,$51,$48 ,5%,AL 2219,,,,,PCC WB ,50%,Alcoa 50%,,Leap-1B,40,35.7," $1,428.00 ",$25.50 ,"$1,020.00 ",
52,2552M30G01,1,2552M30G01.003R,"SHRD,HPC,IGV",2.036,5.683,9.675,Al,AMS 4132,,Carlton Forge,$432.33,Alcoa Fontana,,,20,100,$210,$200 ,5%,Al,,,,,B&F,50%,,,Leap-1B,,,,,,
108,2469M75P01,1,2469M75P01.000R,"NUT, ROUND, OUTER - BALL BEARING NU",0.61,7.6,8.28,4340,AMS 6414,,GMTC,$44.59,GATD,0.3,0.3,30,30,$52,$49 ,5%,4340,,,,,FAST ,30%,FAST  30%,,LEAP A/C,110,15.6," $1,716.00 ",$15.60 ,"$1,716.00 ",
161,2469M73G01,1,2469M73P01.002R,"NUT, LOCKING - NUMBER 3 BEARINGS",3.174,4.342,5.74,410 Stainless,AMS 5613,,BAR,$139.93,Alcoa China,,,100,100,$102,$97 ,5%,410 Stainless,,,,,Moeller ,70%,Alcoa 70% ,,LEAP A/C,,,,,,
160,2545M03P01,1,2545M03P01.000R,"SCREEN, WINDAGE- NUMBER 4R BEARING",0.55,7.095,8.365,17-4 PH,"AMS 5643, AMS 2759/3 ",,BAR,$125.65,GATD,0.5,0.5,50,50,$55,$52 ,5%,17-4PH,,,,,Xian ,50%,GATD 50%,,Leap-1B/ AC,150,27.5," $4,125.00 ",$27.50 ,"$4,125.00 ",
2,2462M89G01,1,2462M89G01.002R,"RING,ACTG",0.48,11.688,12.218,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Alcoa Rochester,$148.90,Alcoa China,,,30,50,$66,$63 ,5%,17-4PH,,,,,B&F,50%,50% Alcoa ,,LEAP A/C,,,,,,
131,2552M31P01,2,2552M31P01.000R,"SHROUD, COMPRESSOR STATOR- STAGE 1",1.445,10.637,12.261,AL 2219,"AMS 4143 or AMS 4144 or AMS 4162",,BAR,$143.41,GATD,0.7,0.5,70,50,$59,$56 ,5%,AL 2219,,,,,PCC WB ,50%,Alcoa 50%,,Leap-1B,40,41.3," $1,652.00 ",$29.50 ,"$1,180.00 ",
3,2462M90G01,1,2462M90G01.002R,IGVRING LOWER,0.48,11.688,12.218,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Alcoa Rochester,$143.20,Alcoa China,,,30,50,$66,$63 ,5%,17-4PH,,,,,B&F,50%,50% Alcoa ,,LEAP A/C,,,,,,
52,2552M30G01,1,2552M30G01.003R,"SHRD,HPC,IGV",2.036,5.683,9.675,Al,AMS 4132,,Carlton Forge,$432.33,GATD,0.8,0.5,80,50,$82,$78 ,5%,Al,,,,,Sun Country ,50%,,,Leap-1B,40,65.6," $2,624.00 ",$41.00 ,"$1,640.00 ",
21,2464M71G03,1,2464M71G03.002R,"CASE, HPT",7.135,24.177,27.003,718+,C50TF128 CL-A,Contour ,Carlton Forge,"$11,470.00",Carlton Forge,,,75,75,"$7,923","$7,527 ",5%,I718+,,,,,Avitron ,45%,Carlton 45%  5% GATD ,,LEAP A/C,,,,,,
21,2464M71G03,1,2464M71G03.002R,"CASE, HPT",7.135,24.177,27.003,718+,C50TF128 CL-A,Contour ,Carlton Forge,"$11,470.00",FRISA,,,20,20,"$7,926","$7,530 ",5%,I718+,,,,,Paradigm Malden ,25%,Frisa 25% ,,LEAP A/C,,,,,,
36,2474M24G03,1,2474M24G03.002R,"RING,ACTG,STG 1 UPPER",0.48,20.295,21.345,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Firth ,$132.80,GATD,0.4,0.5,40,50,$94,$89 ,5%,17-4PH,,,,,Sam Suzhou,50%,GATD 50%,,LEAP A/C,110,37.6," $4,136.00 ",$47.00 ,"$5,170.00 ",
