ID ,Finished Part Number ,QPE ,Forging Part Number ,Nomenclature ,"Finished Part L (+.010 Tol.) ","Finished Part ID (-.005 Tol.) ",Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,Drawing/Contour ,Current Supplier ,Current Price ,Winning Supplier ,,,Supplier Win % ,Updated percentages,2016 Price ,2017 Price ,YOY ,Mat. Type,VSE Intiated,VSE Phase ,Supplier Commit ,Shape Completed,Machining Supplier ,Machine Supplier % ,Change,Indirect PA,EP,,Old %,,New %,,notes
84,2460M47G01,1,2460M47P02.000R,"SEAL, STA-CDP",2.223,9.989,12.627,I909,C50TF95 CL-A,,Carlton Forge,"$2,665.00",Carlton Forge,,,40,50,"$1,104","$1,049 ",5%,I909,,,,,AVIO,50%,Alcoa 50%,,LEAP A/C,,,,,,
86,2460M62G02,1,2460M62P02.000R,"SEAL, STA-HPT FOS",0.647,12.183,13.725,GTD222,B50TF279 CL-A,,Alcoa Rochester,"$2,513.00",Alcoa China,,,30,30,$574,$545 ,5%,GTD222,,,,,Vertechs,50%,Carlton 50%,,LEAP A/C,,,,,,
86,2460M62G02,1,2460M62P02.000R,"SEAL, STA-HPT FOS",0.647,12.183,13.725,GTD222,B50TF279 CL-A,,Alcoa Rochester,"$2,513.00",Carlton Forge,,,70,70,$569,$541 ,5%,GTD222,,,,,Xian ,50%,30% Alcoa / 20% Carlton,,LEAP A/C,,,,,,
87,2482M35G02,1,2482M35P01.000R,"SEAL, TRANS-DUCT",0.535,20.013,22.463,R41,B50TF110 CL-C,,Firth ,"$1,211.00",Alcoa China,,,50,50,$803,$763 ,5%,R41,,,,,Triumph- SanD ,50%,Alcoa 50%,,LEAP A/C,,,,,,
87,2482M35G02,1,2482M35P01.000R,"SEAL, TRANS-DUCT",0.535,20.013,22.463,R41,B50TF110 CL-C,,Firth ,"$1,211.00",Carlton Forge,,,50,50,$805,$765 ,5%,R41,,,,,Vertechs ,50%,Carlton 50%,,LEAP A/C,,,,,,
88,2482M35G02,1,2482M35P03.000R,"SEAL, TRANS-DUCT",0.665,15.433,17.261,I718,B50TF15 CL-D,,Firth ,$587.00,Welded Ring Products,,,40,50,$400,$380 ,5%,I718,,,,,Triumph- SanD ,50%,Welded 50%,,LEAP A/C,,,,,,
88,2482M35G02,1,2482M35P03.000R,"SEAL, TRANS-DUCT",0.665,15.433,17.261,I718,B50TF15 CL-D,,Firth ,$587.00,Alcoa China,,,60,50,$398,$378 ,5%,I718,,,,,Vertechs ,50%,Alcoa 50%,,LEAP A/C,,,,,,
89,2482M33G01,1,2482M33P01.000R,"SEAL, HPT",2.174,12.068,14.515,I718,B50TF15 CL-D,,Firth ,"$1,389.00",Alcoa Rochester,,,60,50,$914,$868 ,5%,I718,,,,,Triumph - SanD ,50%,Alcoa 50%,,LEAP A/C,,,,,,
89,2482M33G01,1,2482M33P01.000R,"SEAL, HPT",2.174,12.068,14.515,I718,B50TF15 CL-D,,Firth ,"$1,389.00",Carlton Forge,,,40,50,"$1,111","$1,055 ",5%,I718,,,,,AVIO,50%,Carlton 50%,,LEAP A/C,,,,,,
90,2482M33G01,1,2482M33P02.000R,"SEAL, HPT",1.446,14.214,16.111,I718,B50TF15 CL-D,,Firth ,$760.00,Alcoa China,,,60,50,$639,$607 ,5%,I718,,,,,Truiumph - SanD ,50%,Alcoa 50%,,LEAP A/C,,,,,,
90,2482M33G01,1,2482M33P02.000R,"SEAL, HPT",1.446,14.214,16.111,I718,B50TF15 CL-D,,Firth ,$760.00,Carlton Forge,,,40,50,$770,$732 ,5%,I718,,,,,AVIO,50%,Carlton 50%,,LEAP A/C,,,,,,
91,2482M30P01,1,2482M30P01.000R,FWD INNER SEAL,1.509,14.696,17.676,HS188,B50TF74 CL-A,,Alcoa Rochester,"$2,379.00",Alcoa China,,,60,50,"$1,480","$1,406 ",5%,HS188,,,,,Liyang ,50%,Alcoa 50%,,LEAP A/C,,,,,,
91,2482M30P01,1,2482M30P01.000R,FWD INNER SEAL,1.509,14.696,17.676,HS188,B50TF74 CL-A,,Alcoa Rochester,"$2,379.00",Carlton Forge,,,40,50,"$1,669","$1,586 ",5%,HS188,,,,,Truiumph - SanD ,50%,Carlton 50%,,LEAP A/C,,,,,,
92,2482M36G02,1,2482M36G02.002R,"PLATE,BACKING",0.23,20.177,22.463,R41,B50TF110 CL-D or B50TF109 CL-D or AMS 5713 (FWR),,Alcoa Fontana,"$1,302.00",Alcoa China,,,70,70,$623,$592 ,5%,R41,,,,,Triumph- SanD ,50%,Alcoa 20% / FRISA 30%,,LEAP A/C,,,,,,
92,2482M36G02,1,2482M36G02.002R,"PLATE,BACKING",0.23,20.177,22.463,R41,B50TF110 CL-D or B50TF109 CL-D or AMS 5713 (FWR),,Alcoa Fontana,"$1,302.00",FRISA,,,30,30,$707,$672 ,5%,R41,,,,,Xian ,50%,Alcoa 50%,,LEAP A/C,,,,,,
93,2482M31P01,4,2482M31P01.000W,"SEAL,PLATE-FW",0.165,14.985,17.189,R41,B50TF110 CL-D or B50TF109 CL-D or AMS 5713 (FWR),,Alcoa Fontana,$637.00,Alcoa China,,,70,70,$345,$328 ,5%,R41,,,,,Liyang ,50%,Alcoa 50% ,,LEAP A/C,,,,,,
93,2482M31P01,4,2482M31P01.000W,"SEAL,PLATE-FW",0.165,14.985,17.189,R41,B50TF110 CL-D or B50TF109 CL-D or AMS 5713 (FWR),,Alcoa Fontana,$637.00,Carlton Forge,,,30,30,$465,$442 ,5%,R41,,,,,Triumph - SanD ,50%,Alcoa 20% / Carlton 30%,,LEAP A/C,,,,,,
94,2596M81G02,1,2596M81P01.000W,SUPPORT,0.406,20.169,21.555,I718,B50TF15 CL-D,,Alcoa Rochester,$581.00,Alcoa China,,,70,70,$315,$299 ,5%,I718,,,,,Birken ,50%,Alcoa 50%,,LEAP A/C,,,,,,
94,2596M81G02,1,2596M81P01.000W,SUPPORT,0.406,20.169,21.555,I718,B50TF15 CL-D,,Alcoa Rochester,$581.00,Carlton Forge,,,30,30,$360,$342 ,5%,I718,,,,,EMI ,50%,Carlton 30% Alcoa 20%,,LEAP A/C,,,,,,
95,2596M81G02,1,2596M81P03.000R,SUPPORT,0.321,23.357,26.607,R41,B50TF110 CL-E,,Firth ,"$1,754.00",Alcoa China,,,40,60,$826,$785 ,5%,R41,,,,,Birken ,50%,Alcoa 50%,,LEAP A/C,,,,,,
95,2596M81G02,1,2596M81P03.000R,SUPPORT,0.321,23.357,26.607,R41,B50TF110 CL-E,,Firth ,"$1,754.00",Carlton Forge,,,60,40,$807,$767 ,5%,R41,,,,,EMI ,50%,Carlton 40% Alcoa 10%,,LEAP A/C,,,,,,
96,2596M86G01(will be M89),1,2596M86G01.002R,"SEAL, PRESSURE BALANCE",4.403,14.629,16.943,I718,B50TF15 CL-D,,Alcoa Rochester,"$2,568.00",Alcoa China,,,70,70,"$1,750","$1,663 ",5%,I718,,,,,EMI ,100%,,,LEAP A/C,,,,,,
96,2596M86G01(will be M89),1,2596M86G01.002R,"SEAL, PRESSURE BALANCE",4.403,14.629,16.943,I718,B50TF15 CL-D,,Alcoa Rochester,"$2,568.00",Carlton Forge,,,30,30,"$1,992","$1,892 ",5%,I718,,,,,,,,,LEAP A/C,,,,,,
97,2468M49P01,1,2468M49P01.000R,"NUT, LOCKING",0.795,4.6669,5.085,I718,AMS 5663,,Alcoa Rochester,$316.00,Alcoa China,,,80,80,$109,$104 ,5%,I718,,,,,EGAT ,50%,Alcoa 30% GATD 20%,,LEAP A/C,,,,,,
97,2468M49P01,1,2468M49P01.000R,"NUT, LOCKING",0.795,4.6669,5.085,I718,AMS 5663,,Alcoa Rochester,$316.00,GATD,0.2,0.2,20,20,$208,$198 ,5%,I718,,,,,Sun Country ,50%,Alcoa 50%,,LEAP A/C,110,41.6," $4,576.00 ",$41.60 ,"$4,576.00 ",
98,2468M78G04,1,2468M78G04.002R,CASE,4.533,20.171,24.908,I718,B50TF15 CL-E,Contour ,FRISA,"$8,200.00",Alcoa Fontana,,,20,20,"$4,450","$4,228 ",5%,I718,,,,,DELETE,,,,LEAP A/C,,,,,,
98,2468M78G04,1,2468M78G04.002R,CASE,4.533,20.171,24.908,I718,B50TF15 CL-E,Contour ,FRISA,"$8,200.00",Carlton Forge,,,50,50,"$4,447","$4,225 ",5%,I718,,,,,DELETE,,,,LEAP A/C,,,,,,
98,2468M78G04,1,2468M78G04.002R,CASE,4.533,20.171,24.908,I718,B50TF15 CL-E,Contour ,FRISA,"$8,200.00",FRISA,,,30,30,"$4,466","$4,243 ",5%,I718,,,,,DELETE,,,,LEAP A/C,,,,,,
99,2468M79G01,1,2468M79P01.000R,"CASE,WISHBONE",3.899,17.045,20.942,I783,AMS 5940,,CarltonForge,"$12,836.00",Alcoa China,,,50,50,"$6,068","$5,765 ",5%,I783,,,,,FAST ,50%,Carlton 50%,,LEAP A/C,,,,,,
99,2468M79G01,1,2468M79P01.000R,"CASE,WISHBONE",3.899,17.045,20.942,I783,AMS 5940,,CarltonForge,"$12,836.00",Carlton Forge,,,50,50,"$6,003","$5,703 ",5%,I783,,,,,Liming ,50%,Alcoa 50%,,LEAP A/C,,,,,,
99,2468M79G01,1,2468M79P01.000R,"CASE,WISHBONE",3.899,17.045,20.942,I783,AMS 5940,,CarltonForge,"$12,836.00",FRISA,,,Declined , , , ,5%,I783,,,,,, ,,,LEAP A/C,,,,,,
100,2468M79G01,1,2468M79P02.000R,"CASE,WISHBONE",1.7582,20.5996,24.908,I718,B50TF15 CL-D,,FRISA,"$4,250.00",Alcoa China,,,50,50,"$1,817","$1,726 ",5%,I718,,,,,FAST ,50%,Alcoa 50%,,LEAP A/C,,,,,,
100,2468M79G01,1,2468M79P02.000R,"CASE,WISHBONE",1.7582,20.5996,24.908,I718,B50TF15 CL-D,,FRISA,"$4,250.00",Carlton Forge,,,40,40,"$2,006","$1,906 ",5%,I718,,,,,Liming ,50%,Carlton 40% Frisa 10%,,LEAP A/C,,,,,,
100,2468M79G01,1,2468M79P02.000R,"CASE,WISHBONE",1.7582,20.5996,24.908,I718,B50TF15 CL-D,,FRISA,,FRISA,,,10,10,,,,,,,,,,,,,LEAP A/C,,,,,,
101,2596M82G01,1,2596M82G01.002R,PLATE,0.11,24.083,26.607,R41,B50TF110 CL-F,,Alcoa Fontana,$840.00,Alcoa China,,,40,50,$509,$484 ,5%,R41,,,,,Liming ,50%,Alcoa 50%,,LEAP A/C,,,,,,
101,2596M82G01,1,2596M82G01.002R,PLATE,0.11,24.083,26.607,R41,B50TF110 CL-F,,Alcoa Fontana,$840.00,Carlton Forge,,,60,50,$495,$470 ,5%,R41,,,,,Liyang ,50%,Carlton 50%,,LEAP A/C,,,,,,
102,2461M67P01,1,2461M67P01.000R,"SEAL,STA,AIRB",2.218,6.744,11.196,15-5PH,AMS 5659,,MATTCO,$948.00,Alcoa China,,,60,70,$490,$466 ,5%,15-5PH,,,,,UEC Poland ,70%,70% Alcoa ,,LEAP A/C,,,,,,
30,2474M23G01,1,2474M23G01.002R,"RING, SEG, STG 1",0.51,20.853,21.863,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$314.86,GATD,0.4,0.4,40,40,$214,$203 ,5%,Ti 6-4,,,,,B&F,50%,Alcoa 50%,,Leap-1B,40,85.6," $3,424.00 ",$85.60 ,"$3,424.00 ",
103,2461M68P01,1,2461M68P01.000R,"SEAL,STA.AIRB",1.345,6.24,11.01,I718,B50TF15 CL-E,,Alcoa Fontana,$986.00,Alcoa China,,,70,70,$660,$627 ,5%,I718,,,,,UEC Poland ,100%,70% Alcoa ,,LEAP A/C,,,,,,
103,2461M68P01,1,2461M68P01.000R,"SEAL,STA.AIRB",1.345,6.24,11.01,I718,B50TF15 CL-E,,Alcoa Fontana,$986.00,Carlton Forge,,,30,30,$775,$736 ,5%,I718,,,,,UEC Poland ,,30% Carlton ,,LEAP A/C,,,,,,
104,2464M72P01,1,2464M72P01.000W,"RETAINER, HPT",0.985,23.762,26.528,I718,B50TF15 CL-F or AMS 7490 (FWR),,Alcoa Fontana,"$2,817.00",Alcoa China,,,60,60,$965,$917 ,5%,I718,,,,,GE Suzhou ,75%,60% Alcoa 15% Welded ,,LEAP A/C,,,,,,
104,2464M72P01,1,2464M72P01.000W,"RETAINER, HPT",0.985,23.762,26.528,I718,B50TF15 CL-F or AMS 7490 (FWR),,Alcoa Fontana,"$2,817.00",Welded Ring Products,,,40,40,$989,$940 ,5%,I718,,,,,Liyang ,25%,25% Welded,,LEAP A/C,,,,,,
105,2554M83P01 ,1,2554M83P01.000R,"SHEILD, HEAT - COMBUSTOR CASE",1.725,24.415,24.995,718Plus,B50TF317 CL-B,,Alcoa Rancho Cucamonga,"$1,498.00",Welded Ring Products,,,50,70,$735,$698 ,5%,I718+,,,,,Satellite ,70%,Welded 70%,,Leap-1B,,,,,,
105,2554M83P01 ,1,2554M83P01.000R,"SHEILD, HEAT - COMBUSTOR CASE",1.725,24.415,24.995,718Plus,B50TF317 CL-B,,Alcoa Rancho Cucamonga,"$1,498.00",Wyman Mountaintop,,,50,30,$720,$684 ,5%,I718+,,,,,Aerocision - Chester,30%,Wyman 30%,,Leap-1B,,,,,,
106,2461M34P01,1,2461M34P01.000R,"DAMPER, AFT",0.238,10.043,10.423,IN750,AMS 5668,,Alcoa China,$231.17,Alcoa China,,,80,80,$65,$62 ,5%,IN750,,,,,UEC Poland ,50%,30% Alcoa / 20 % Alcoa Rochester ,,Leap-1B/ AC,,,,,,
106,2461M34P01,1,2461M34P01.000R,"DAMPER, AFT",0.238,10.043,10.423,IN750,AMS 5668,,Alcoa China,$231.17,Alcoa Rochester,,,20,20,$65,$62 ,5%,IN750,,,,,Liyang ,50%,50% Alcoa,,Leap-1B/ AC,,,,,,
107,2466M97P01,1,2466M97P01.000R,"DAMPER, MIDSEAL",0.214,11.483,11.823,IN750,AMS 5668,,Alcoa China,$237.50,Alcoa China,,,80,70,$75,$71 ,5%,IN750,,,,,Liyang ,70%,Alcoa 70%,,LEAP A/C,,,,,,
107,2466M97P01,1,2466M97P01.000R,"DAMPER, MIDSEAL",0.214,11.483,11.823,IN750,AMS 5668,,Alcoa China,$237.50,Welded Ring Products,,,20,30,$117,$111 ,5%,IN750,,,,,Barnes Singapore ,30%,Welded 30%,,LEAP A/C,,,,,,
108,2469M75P01,1,2469M75P01.000R,"NUT, ROUND, OUTER - BALL BEARING NU",0.61,7.6,8.28,4340,AMS 6414,,GMTC,$44.59,Alcoa China,,,70,70,$41,$39 ,5%,4340,,,,,EGAT ,70%,Alcoa 70% ,,LEAP A/C,,,,,,
33,2474M23G04,1,2474M23G04.002R,"RING, SEG, STG 4",0.51,20.375,21.385,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$312.00,GATD,0.4,0.5,40,50,$214,$203 ,5%,Ti 6-4,,,,,Sam Suzhou,50%,GATD 50%,,Leap-1B,40,85.6," $3,424.00 ",$107.00 ,"$4,280.00 ",
109,2541M81G01,1,2541M81G01.002R,HPT CASE,7.509,23.401,26.647,718Plus,C50TF128 CL-A,,Carlton Forge,"$11,470.00",Alcoa China,,,30,30,"$8,551","$8,123 ",5%,I718+,,,,,Fast,30%,Alcoa 30%,,Leap-1B,,,,,,
109,2541M81G01,1,2541M81G01.002R,HPT CASE,7.509,23.401,26.647,718Plus,C50TF128 CL-A,,Carlton Forge,"$11,470.00",Carlton Forge,,,60,60,"$8,549","$8,122 ",5%,I718+,,,,,Samsung ,40%,Carlton 40% ,,Leap-1B,,,,,,
109,2541M81G01,1,2541M81G01.002R,HPT CASE,7.509,23.401,26.647,718Plus,C50TF128 CL-A,,Carlton Forge,"$11,470.00",FRISA,,,10,10,"$8,657","$8,224 ",5%,I718+,,,,,TEI ,30%,Carlton 20% FRISA 10%,,Leap-1B,,,,,,
110,2541M82P01,1,2541M82P01.000W,"RETAINER, AFT - HIGH PRESSURE TURBI",0.982,23.079,25.859,I718,B50TF15 CL-F,,Alcoa Rochester,"$1,895.00",Alcoa China,,,60,50,$952,$904 ,5%,I718,,,,,Xian ,25%,Alcoa 25%,,Leap-1B,,,,,,
110,2541M82P01,1,2541M82P01.000W,"RETAINER, AFT - HIGH PRESSURE TURBI",0.982,23.079,25.859,I718,B50TF15 CL-F,,Alcoa Rochester,"$1,895.00",Welded Ring Products,,,40,50,$952,$904 ,5%,I718,,,,,Liyang ,25%,Alcoa 25%,,Leap-1B,,,,,,
110,2541M82P01,1,2541M82P01.000W,,0.982,23.079,25.859,I718,B50TF15 CL-F,,,,,,,,,,$0 ,5%,,,,,,GE Suzhou,50%,Welded 50%,,,,,,,,
111,2542M43P01(P02),1,2542M43P01.000R,"NUT PLAIN, ROUND -NUMBER 3 BALL BEA",0.61,7.195,7.88,4340,AMS 6414,,GMTC,$56.52,Alcoa China,,,70,70,$41,$39 ,5%,4340,,,,,EGAT ,70%,alcoa 70%,,Leap-1B,,,,,,
24,2474M19G01,1,2474M19G01.002R,IGVRING LOWER,0.51,22.685,23.695,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$329.00,GATD,0.4,0.5,40,50,$221,$210 ,5%,Ti 6-4,,,,,B&F ,50%,Alcoa 50%,,Leap-1B,40,88.4," $3,536.00 ",$110.50 ,"$4,420.00 ",
112,2542M53P01,1,2542M53P01.000R,"RING, RETAINING - KEYED",0.71,3.955,4.261,IN750,AMS 5670 OR AMS 5667,,GMTC,$100.71,Alcoa China,,,70,70,$103,$98 ,5%,IN750,,,,,Avitron ,55%,Alcoa 55%,,Leap-1B,,,,,,
25,2474M21G01,1,2474M21G01.002R,"RING, SEG, IGV",0.51,22.685,23.695,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$329.00,GATD,0.4,0.5,40,50,$221,$210 ,5%,Ti 6-4,,,,,Sam Suzhou,50%,GATD 50%,,Leap-1B,40,88.4," $3,536.00 ",$110.50 ,"$4,420.00 ",
113,2542M81P01,1,2542M81P01.000R,"SEAL, ROTATING, OIL-NUMBER 4 BEARIN",1.665,4.36,6.399,15-5 PH,AMS 5659,,Alcoa Rochester,$187.00,Alcoa China,,,70,70,$105,$100 ,5%,15-5PH,,,,,UEC Poland ,70%,Alcoa 70%,,Leap-1B,,,,,,
143,2461M69P01,1,2461M69P01.000R,"SEAL, STATIONARY, OIL-NUMBER 4 BEAR",1.3172,6.195,8.505,A-286,AMS 5734,,Larson ,$405.00,GATD,0.5,0.5,50,50,$222,$211 ,5%,A286,,,,,Liyang ,50%,GATD 50%,,Leap-1B/ AC,150,111," $16,650.00 ",$111.00 ,"$16,650.00 ",
114,2542M94P01,1,2542M94P01.000R,"SEAL, STATIONARY, OIL-NUMBER 4 BEAR",1.955,6.433,8.391,A286,AMS 5734,,Carlton Forge,"$1,183.00",Alcoa China,,,70,70,$250,$238 ,5%,A286,,,,,Xian ,60%,GATD 30% Alcoa 30%,,Leap-1B,,,,,,
114,2542M94P01,1,2542M94P01.000R,"SEAL, STATIONARY, OIL-NUMBER 4 BEAR",1.955,6.433,8.391,A286,AMS 5734,,Carlton Forge,"$1,183.00",GATD,0.3,0.3,30,30,$277,$263 ,5%,A286,,,,,B&E,40%,Alcoa 40%,,Leap-1B,40,83.1," $3,324.00 ",$83.10 ,"$3,324.00 ",
115,2547M00P01,1,2547M00P01.000W,"RING, RETAINER - HIGH PRESSURE TURB",0.17,14.44,14.824,I718,B50TF14 CL-E,,Alcoa China,$148.38,Alcoa China,,,80,70,$92,$87 ,5%,I718,,,,,EGAT ,70%,Alcoa 70% ,,Leap-1B,,,,,,
115,2547M00P01,1,2547M00P01.000W,"RING, RETAINER - HIGH PRESSURE TURB",0.17,14.44,14.824,I718,B50TF14 CL-E,,Alcoa China,$148.38,Welded Ring Products,,,20,30,$128,$122 ,5%,I718,,,,,B&F ,30%,Welded 30%,,Leap-1B,,,,,,
116,2547M07P01,1,2547M07P01.000R,"DAMPER, MIDSEAL",0.214,11.851,12.191,IN750,AMS 5668,,Alcoa China,$178.13,Alcoa China,,,80,70,$85,$81 ,5%,IN750,,,,,Liyang ,70%,Alcoa 70% ,,Leap-1B,,,,,,
116,2547M07P01,1,2547M07P01.000R,"DAMPER, MIDSEAL",0.214,11.851,12.191,IN750,AMS 5668,,Alcoa China,$178.13,Welded Ring Products,,,20,30,$124,$118 ,5%,IN750,,,,,Barnes Singapore ,30%,Welded 30%,,Leap-1B,,,,,,
117,2547M12P01,1,2547M12P01.000R,"NUT, COUPLING - HPT ROTOR",0.985,4.515,5.113,Inco718-PQ DM,C50TF37 CL-D,,Alcoa Rochester,$199.72,Alcoa China,,,70,70,$126,$120 ,5%,Inco718-PQ DM,,,,,EGAT ,70%,Alcoa 70%,,Leap-1B,,,,,,
117,2547M12P01,1,2547M12P01.000R,"NUT, COUPLING - HPT ROTOR",0.985,4.515,5.113,Inco718-PQ DM,C50TF37 CL-D,,Alcoa Rochester,$199.72,Carlton Forge,,,30,30,$297,$282 ,5%,Inco718-PQ DM,,,,,Sun Country ,30%,Carlton 30%,,Leap-1B,,,,,,
118,2548M29P02,1,2548M29P02.000R,"CASE, COMBUSTOR",14.184,20.262,26.804,718Plus,C50TF128 CL-A,,Schlosser ,"$29,985.00",Alcoa Rancho Cucamonga,,,90,90,"$18,267","$17,902 ",2%,I718+,,,,,GE Suzhou,50%,Alcoa 50%,,Leap-1B,,,,,,
118,2548M29P02,1,2548M29P02.000R,"CASE, COMBUSTOR",14.184,20.262,26.804,718Plus,C50TF128 CL-A,,Schlosser ,"$29,985.00",Carlton Forge,,,10,10,"$15,473","$14,699 ",5%,I718+,,,,,EGAT,25%,Alcoa 25%,,Leap-1B,,,,,,
118,2548M29P02,1,2548M29P02.000R,,14.184,20.262,26.804,718Plus,C50TF128 CL-A,,,,,,,,,,$0 ,5%,,,,,,AIDC ,25%,Alcoa 15% Carlton 10%,,,,,,,,
119,2085M68P01,1,2085M68P01.000R,"CASE, COMBUSTOR",13.501,20.3656,26.591,718 Plus,C50TF128 CL-A,,Alcoa Rancho Cucamonga,"$36,972.00",Alcoa Rancho Cucamonga,,,90,90,"$17,971","$17,612 ",2%,I718+,,,,,FAST ,50%,Alcoa,,LEAP A/C,,,,,,
119,2085M68P01,1,2085M68P01.000R,"CASE, COMBUSTOR",13.501,20.3656,26.591,718 Plus,C50TF128 CL-A,,Alcoa Rancho Cucamonga,"$36,972.00",Carlton Forge,,,10,10,"$15,533","$14,756 ",5%,I718+,,,,,GE Suzhou,50%,10% - Carlton - 40% Alcoa,,LEAP A/C,,,,,,
120,2461M37P01,1,2461M37P01.000R,"NUT, COUPLING HPT ROTOR",0.985491,4.6026,5.2646,IN718,C50TF37 CL-D,,Alcoa Rochester,$168.00,Alcoa China,,,80,60,$119,$113 ,5%,I718 PQ,,,,,Sun Country ,60%,60% Alcoa   ,,Leap-1B/ AC,,,,,,
120,2461M37P01,1,2461M37P01.000R,"NUT, COUPLING HPT ROTOR",0.985491,4.6026,5.2646,IN718,C50TF37 CL-D,,Alcoa Rochester,$168.00,Carlton Forge,,,20,40,$314,$298 ,5%,I718 PQ,,,,,Aerocison - Chester ,40%,40% Carlton ,,Leap-1B/ AC,,,,,,
122,2552M01G01  2468M16G01,1,2468M26P01,"Blisk, Aft Arm, Cmpressor Rotor ",0,0,0,Ti 6-4,C50TF12 CL-I,Yes ,Alcoa Rochester,"$1,252.00",Alcoa Rochester,,,40,40,"$1,634","$1,552 ",5%,Ti 6-4,,,,,West Jeff ,100%,,,Leap-1B/ AC,,,,,,
122,2552M01G01  2468M16G01,1,2468M26P01,"Blisk, Aft Arm, Cmpressor Rotor ",0,0,0,Ti 6-4,C50TF12 CL-I,Yes ,Alcoa Rochester,"$1,252.00",Carlton Forge,,,60,60,"$1,248","$1,186 ",5%,Ti 6-4,,,,,,,,,Leap-1B/ AC,,,,,,
124,2468M18G01,1,2468M30P01,"Spool, Arm Aft Cmpressor Rotor",0,0,0,Ti-6242,C50TF39 CL-B,Yes ,Carlton Forge,"$2,091.00",Carlton Forge,,,60,60,"$1,644","$1,562 ",5%,Ti-6242,,,,,West Jeff ,100%,,,LEAP A/C,,,,,,
124,2468M18G01,1,2468M30P01,"Spool, Arm Aft Cmpressor Rotor",0,0,0,Ti-6242,C50TF39 CL-B,Yes ,Carlton Forge,"$2,091.00",Alcoa China,,,40,40,"$1,579","$1,500 ",5%,Ti-6242,,,,,,,,,LEAP A/C,,,,,,
125,2552M03G01,1,2468M30P02,"Spool, Arm Aft Cmpressor Rotor",0,0,0,Ti-6242,C50TF39 CL-B,Yes ,Carlton Forge,"$1,980.00",Alcoa China,,,80,80,"$1,045",$993 ,5%,Ti-6242,,,,,West Jeff ,100%,,,Leap-1B,,,,,,
125,2552M03G01,1,2468M30P02,"Spool, Arm Aft Cmpressor Rotor",0,0,0,Ti-6242,C50TF39 CL-B,Yes ,Carlton Forge,"$1,980.00",Carlton Forge,,,20,20,"$1,793","$1,703 ",5%,Ti-6242,,,,,,,,,Leap-1B,,,,,,
126,2482M11G01 / 2490M99G04,1,4013522-470P04,"Flange, Aft TCF",0,0,0,I718,B50TF15 CL-D,Yes ,Alcoa Rancho Cucamonga,"$6,915.00",Alcoa Rancho Cucamonga,,,30,20,"$6,538","$6,211 ",5%,I718,,,,,EMO -Direct ,10%,,,Leap-AC,,,,,,
126,2482M11G01 / 2490M99G04,1,4013522-470P04,"Flange, Aft TCF",0,0,0,I718,B50TF15 CL-D,Yes ,Alcoa Rancho Cucamonga,"$6,915.00",Carlton Forge,,,60,60,"$4,495","$4,270 ",5%,I718,,,,,Terre Haute ,40%,,,Leap-AC,,,,,,
126,2482M11G01 / 2490M99G04,1,4013522-470P04,"Flange, Aft TCF",0,0,0,I718,B50TF15 CL-D,Yes ,Alcoa Rancho Cucamonga,"$6,915.00",FRISA,,,10,20,"$4,350","$4,133 ",5%,I718,,,,,Barnes   ,50%,,,Leap-AC,,,,,,
127,2482M11G01 / 2490M99G04,1,4013522-469P03,"Flange, Fwd TCF",0,0,0,I718,B50TF15 CL-D,Yes ,Alcoa Rochester,"$1,710.00",Carlton Forge,,,50,50,"$1,300","$1,235 ",5%,I718,,,,,EMO -Direct ,10%,,,Leap AC,,,,,,
127,2482M11G01 / 2490M99G04,1,4013522-469P03,"Flange, Fwd TCF",0,0,0,I718,B50TF15 CL-D,Yes ,Alcoa Rochester,"$1,710.00",Alcoa China,,,50,50,"$1,300","$1,235 ",5%,I718,,,,,Terre Haute ,40%,,,Leap AC,,,,,,
128,2243M35G02,1,2243M35P03,Impingement Ring ,0.512,22.393,23.178,HastX,AMS 5536,,Wyman Mountaintop,$298.00,Alcoa Rochester,,,60,60,$255,$242 ,5%,HastX,,,,,TEI ,75%,60% Alcoa 15% Wyman ,,Leap-1B,,,,,,
128,2243M35G02,1,2243M35P03,Impingement Ring ,0.512,22.393,23.178,HastX,AMS 5536,,Wyman Mountaintop,$298.00,Wyman Mountaintop,,,40,40,$277,$263 ,5%,HastX,,,,,EGAT  ,25%,25% Wyman ,,Leap-1B,,,,,,
129,2243M35G02,1,2243M35P07,Impingement Ring ,0.574,22.549,23.501,HastX,AMS 5536,,Wyman Mountaintop,$365.00,Alcoa Rochester,,,60,60,$295,$280 ,5%,HastX,,,,,TEI ,75%,60% Alcoa 15% Wyman ,,Leap-1B,,,,,,
129,2243M35G02,1,2243M35P07,Impingement Ring ,0.574,22.549,23.501,HastX,AMS 5536,,Wyman Mountaintop,$365.00,Wyman Mountaintop,,,40,40,$310,$295 ,5%,HastX,,,,,EGAT  ,25%,25% Wyman ,,Leap-1B,,,,,,
