Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,PO Amended  Y/N?, 2015 RM Delta ,2015 Material Deflation,2015 Material Extended Value,Machine Part Comments,NPI  - Leap/PP,Chip Revert  Part?,,,,,
950-CHIPMAN       ,17A164-007P01,OUTER SHELL,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CT7/ T700,150,17A164-020P03,Flash Welded,PCC,MTTP (TruForm),1=1,$619.24 ,$606.86 ,Yes, (12.38)," (1,857.00)"," 91,029.00 ",,,,,,,,
952-NEAL          ,17A164-007P01,OUTER SHELL,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CT7/ T700,150,17A164-020P03,Flash Welded,PCC,MTTP (TruForm), 1=1 ,$619.24 ,$606.86 ,Yes, (12.38)," (1,857.00)"," 91,029.00 ",,,,,,,,
952-NEAL          ,4013082-781P01,INNER VANE RIN,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,F110-100,0,4013082-781P01,Flash Welded,PCC,MTTP (TruForm),1=1,$633.18 ,$620.52 ,Yes, (12.66), -   , -   ,,,,,,,,
952-NEAL          ,17A137-918P01,"RING,AFT INNER",,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,F110-100,33,17A137-918P01,Flash Welded,PCC,MTTP (TruForm),1=1,$640.67 ,$627.86 ,Yes, (12.81), (422.73)," 20,719.38 ",,,,,,,,
T64-CHIPMAN       ,17A137-918P01,"RING,AFT INNER",,Yes,44278-PARADIGM PRECISION - MEX                ,F110-100,33,17A137-918P01,Flash Welded,PCC,MTTP (TruForm),1=1,$640.67 ,$627.86 ,Yes, (12.81), (422.73)," 20,719.38 ",PCC new source,,,,,,,
333-LEADER        ,9977010-264P01,RING STIFFENER,,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF6-6,51,TF-9977010-264P01,Flash Welded,PCC,MTTP (TruForm),1=1,$642.89 ,$630.03 ,Yes, (12.86), (655.86)," 32,131.53 ",,,,,,,,
333-LEADER        ,9977010-261P01,RING STIFFENER,,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF6-6,44,9977010-261P01,Flash Welded,PCC,MTTP (TruForm),1=1,$646.73 ,$633.80 ,Yes, (12.93), (568.92)," 27,887.20 ",,,,,,,,
950-CHIPMAN       ,2303M16G05,"ASSY, VANE, STG",,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,GENX,0,2303M21P01,Flash Welded,PCC,MTTP (TruForm),1=1,$821.00 ,$806.54 ,Yes, (14.46), -   , -   ,,,,,,,,
333-LEADER        ,9977013-665G01,F404 LPTC KIT,1,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,4,9977013-555P01,Flash Welded,PCC,MTTP (TruForm),1=1,$759.98 ,$744.78 ,Yes, (15.20), (60.80)," 2,979.12 ",,,,,,,,
333-LEADER        ,9977013-665G02,F404 LPTC KIT,1,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,44,9977012-555P01,Flash Welded,PCC,MTTP (TruForm),1=1,$759.98 ,$744.78 ,Yes, (15.20), (668.80)," 32,770.32 ",,,,,,,,
