Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,PO Amended  Y/N?, 2015 RM Delta ,2015 Material Deflation,2015 Material Extended Value,Machine Part Comments,NPI  - Leap/PP,Chip Revert  Part?,,,,,
951-WELLING       ,5060T89P05,SHROUD RETAINER,1,Yes,14750-B&F MACHINE                             ,0,3671,TF5060T89P01,Seamless,Firth_Rixson,Monroe,1=49,6.20,$6.08 ,Yes, (0.12), (440.52)," 22,319.68 ",International Source change in 2015,,,,,,,
951-WELLING       ,5060T89P01,RET.,1,Yes,14750-B&F MACHINE                             ,0,8688,TF5060T89P01,Seamless,Firth_Rixson,Monroe,1=49,$6.20 ,$6.08 ,Yes, (0.12)," (1,042.56)"," 52,823.04 ",2017,,,,,,,
92P-DYKES         ,4088T35P02,"PLATE,  NUT",,Yes,61701-MOELLER MANUFACTURING                   ,CT7/ T700,13020,4088T35P02,Seamless,Firth_Rixson,Forged Metals (FMI),1=144,$6.64 ,$6.51 ,Yes, (0.13)," (1,692.60)"," 84,760.20 ",,,,,,,,
950-CHIPMAN       ,5100T66P01,"IGV SHROUD, F414",,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,UNKNOWN,297,5100T66P01/P02,Seamless,Firth_Rixson,Forged Metals (FMI),1=56,$6.42 ,$6.29 ,Yes, (0.13), (38.61)," 1,868.13 ",B&F new source - Paradigm only has chedules in 1Q2015,,,,,,,
951-WELLING       ,5100T66P01,"IGV SHROUD, F414",1,Yes,14750-B&F MACHINE                             ,UNKNOWN,297,5100T66P01/P02(ref),Seamless,Firth_Rixson,Forged Metals (FMI),1=56,$6.42 ,$6.29 ,Yes, (0.13), (38.61)," 1,868.13 ",,,,,,,,
950-CHIPMAN       ,5100T66P02,"IGV SHROUD, F414",,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CF6-6,246,5100T66P01/P02,Seamless,Firth_Rixson,Forged Metals (FMI),1=56,$6.42 ,$6.29 ,Yes, (0.13), (31.98)," 1,547.34 ",B&F new source - Paradigm only has chedules in 1Q2015,,,,,,,
951-WELLING       ,5100T66P02,"IGV SHROUD, F414",1,Yes,14750-B&F MACHINE                             ,CF6-6,246,5100T66P01/P02(ref),Seamless,Firth_Rixson,Forged Metals (FMI),1=56,$6.42 ,$6.29 ,Yes, (0.13), (31.98)," 1,547.34 ",,,,,,,,
332-KLAYER        ,2038M41G01,"SHROUD,STG 1",,Yes,28138-ADOM ENGINEERING                        ,F110/F101/F118,1602,9992M65P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$6.30 ,$6.17 ,Yes, (0.13), (208.26)," 9,884.34 ",,,,,,,,
412-GOLDFARB      ,2038M41G01,"SHROUD,STG 1",1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,F110/F101/F118,1602,9992M65P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$6.30 ,$6.17 ,Yes, (0.13), (208.26)," 9,884.34 ",,,,,,,,
332-KLAYER        ,2038M41G02,"SHROUD,STG 1",,Yes,28138-ADOM ENGINEERING                        ,F110/F101/F118,166,9992M65P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$6.30 ,$6.17 ,Yes, (0.13), (21.58)," 1,024.22 ",,,,,,,,
333-LEADER        ,9977013-971P01,SPLIT RING AFT,,No,81749-SPACE-CRAFT MANUFACTURING               ,CF6-6,39,9977013-971P01,Seamless,Firth_Rixson,Schlosser,1=8,  $                          -   ,  $                   -   ,N/A,#VALUE!,#VALUE!,#VALUE!,,,,,,,,
952-NEAL          ,9994M18G03,SHROUD,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,F118,203,9994M18P01,Seamless,Firth_Rixson,Schlosser,1=11,$10.18 ,$10.00 ,Yes, (0.18), (36.54)," 2,030.00 ",,,,,,,,
951-WELLING       ,5078T28G02,SHROUD,1,Yes,14750-B&F MACHINE                             ,"CT7-9, T700",20,TF5060T89P02,Seamless,Firth_Rixson,Monroe,1=42,$8.81 ,$8.63 ,Yes, (0.18), (3.60), 172.60 ,,,,,,,,
951-WELLING       ,5078T28G04,S2 SHROUD RTNR,1,Yes,14750-B&F MACHINE                             ,0,55,5060T89P02,Seamless,Firth_Rixson,Monroe,1=42,$8.81 ,$8.63 ,Yes, (0.18), (9.90), 474.65 ,,,,,,,,
951-WELLING       ,5078T28G03,"RET,SHRD STG2",1,Yes,14750-B&F MACHINE                             ,"CT7-9, T700",501,TF5060T89P02,Seamless,Firth_Rixson,Monroe,1=42,$8.81 ,$8.63 ,Yes, (0.18), (90.18)," 4,323.63 ",,,,,,,,
951-WELLING       ,5060T89P02,RET.,1,Yes,14750-B&F MACHINE                             ,0,5377,TF5060T89P02,Seamless,Firth_Rixson,Monroe,1=42,8.81,$8.63 ,Yes, (0.18), (967.86)," 46,403.51 ",2017,,,,,,,
951-WELLING       ,5049T71P02,SHROUD STG 1 CPD LEAP PROGRAM,1,Yes,14750-B&F MACHINE                             ,LM2500,409,5049T71P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=28,9.62,$9.43 ,Yes, (0.19), (77.71)," 3,856.87 ",,,,,,,,
952-NEAL          ,1805M29P01,"PLATE,FAIRING(GE90)",,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,7834,8386 Firth Blueprint #,Seamless,Firth_Rixson,Forged Metals (FMI),1=816,$9.56 ,$9.37 ,Yes, (0.19)," (1,488.46)"," 73,404.58 ",,,,,,,,
332-KLAYER        ,2038M42G02,"SHROUD,STG 2",,Yes,28138-ADOM ENGINEERING                        ,F110/F101/F118,364,9994M18P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$10.18 ,$9.98 ,Yes, (0.20), (72.80)," 3,632.72 ",,,,,,,,
412-GOLDFARB      ,2038M42G02,"SHROUD,STG 2",1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,F110/F101/F118,364,9994M18P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$10.18 ,$9.98 ,Yes, (0.20), (72.80)," 3,632.72 ",,,,,,,,
412-GOLDFARB      ,2038M42G01,"SHROUD,STG 2",1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,F110/F101/F118,110,9994M18P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$10.18 ,$9.98 ,Yes, (0.20), (22.00)," 1,097.80 ",,,,,,,,
92P-DYKES         ,2038M42G01,"SHROUD,STG 2",,Yes,61701-MOELLER MANUFACTURING                   ,F110/F101/F118,110,9994M18P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$10.18 ,$9.98 ,Yes, (0.20), (22.00)," 1,097.80 ",,,,,,,,
332-KLAYER        ,4004M79G04,FWD STATOR SHROUD KIT FFM45,1,Yes,28138-ADOM ENGINEERING                        ,F110,58,9992M65P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$10.18 ,$9.98 ,Yes, (0.20), (11.60), 578.84 ,,,,,,,,
332-KLAYER        ,4004M79G04,FWD STATOR SHROUD KIT FFM45,1,Yes,28138-ADOM ENGINEERING                        ,F110,58,9992M65P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$10.18 ,$9.98 ,Yes, (0.20), (11.60), 578.84 ,,,,,,,,
332-KLAYER        ,4004M79G04,FWD STATOR SHROUD KIT FFM45,1,Yes,28138-ADOM ENGINEERING                        ,F110,58,9994M18P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$10.18 ,$9.98 ,Yes, (0.20), (11.60), 578.84 ,,,,,,,,
332-KLAYER        ,4004M79G04,FWD STATOR SHROUD KIT FFM45,1,Yes,28138-ADOM ENGINEERING                        ,F110,58,9994M18P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$10.18 ,$9.98 ,Yes, (0.20), (11.60), 578.84 ,,,,,,,,
332-KLAYER        ,2038M42G01,"SHROUD,STG 2",,Yes,28138-ADOM ENGINEERING                        ,F110/F101/F118,110,9994M18P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=11,$10.18 ,$9.98 ,Yes, (0.20), (22.00)," 1,097.80 ",,,,,,,,
92P-DYKES         ,9992M75G17,STG 5 LINER,,Yes,61701-MOELLER MANUFACTURING                   ,F110,669,9992M75G03-F,Seamless,Firth_Rixson,Monroe,1=50,$10.64 ,$10.43 ,Yes, (0.21), (140.49)," 6,977.67 ",,,,,,,,
333-LEADER        ,4004M76G01,HPCS FWD LINER KIT,10,Yes,62413-BRITT AERO                              ,F101,2,9992M75G03-F,Seamless,Firth_Rixson,Monroe,1=50,$10.65 ,$10.43 ,Yes, (0.22), (0.44), 20.86 ,,,,,,,,
92P-DYKES,4004M76G01,HPCS FWD LINER KIT,,Yes,61701-MOELLER MANUFACTURING                   ,F101,2,9992M75G03-F,Seamless,Firth_Rixson,Monroe,1=50,$10.65 ,$10.43 ,Yes, (0.22), (0.44), 20.86 ,,,,,,,,
333-LEADER        ,4004M76G04,HPCS FWD LINER KIT,10,Yes,62413-BRITT AERO                              ,F110-100,26,9992M75G17-F,Seamless,Firth_Rixson,Monroe,1=50,$10.65 ,$10.43 ,Yes, (0.22), (5.72), 271.18 ,,,,,,,,
92P-DYKES         ,4004M76G04,PCS FWD LINER KIT,,Yes,61701-MOELLER MANUFACTURING                   ,F110-100,26,9992M75G03-F,Seamless,Firth_Rixson,Monroe,1=50,$10.65 ,$10.43 ,Yes, (0.22), (5.72), 271.18 ,,,,,,,,
333-LEADER        ,9992M75G03,LINER STG5 MIL,,Yes,62413-BRITT AERO                              ,F118,76,9992M75G03-F,Seamless,Firth_Rixson,Monroe,1=50,$10.65 ,$10.43 ,Yes, (0.22), (16.72), 792.68 ,,,,,,,,
92P-DYKES         ,9992M75G03,LINER STG5 MIL,,Yes,61701-MOELLER MANUFACTURING                   ,F118,76,9992M75G03-F,Seamless,Firth_Rixson,Monroe,1=50,$10.65 ,$10.43 ,Yes, (0.22), (16.72), 792.68 ,,,,,,,,
333-LEADER        ,9992M75G17,STG 5 LINER,,Yes,62413-BRITT AERO                              ,F110,669,9992M75G03-F,Seamless,Firth_Rixson,Monroe,1=50,$10.65 ,$10.43 ,Yes, (0.22), (147.18)," 6,977.67 ",,,,,,,,
952-NEAL          ,4907T22P01,"OTR LINER SEAL, CF34",,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF34 ,0,4907T22 P01 RM,Seamless,Firth_Rixson,Monroe,1=1,$719.00 ,$718.73 ,Yes, (0.27), -   , -   ,,,,,,,,
333-LEADER        ,4004M76G01,HPCS FWD LINER KIT,10,Yes,62413-BRITT AERO                              ,F101,2,9992M74G05-F,Seamless,Firth_Rixson,Monroe,1=36,$14.77 ,$14.47 ,Yes, (0.30), (0.60), 28.94 ,,,,,,,,
92P-DYKES         ,4004M76G01,HPCS FWD LINER KIT,20,Yes,61701-MOELLER MANUFACTURING                   ,F101,2,9992M74G05-F,Seamless,Firth_Rixson,Monroe,1=36,$14.77 ,$14.47 ,Yes, (0.30), (0.60), 28.94 ,,,,,,,,
333-LEADER        ,4004M76G04,HPCS FWD LINER KIT,10,Yes,62413-BRITT AERO                              ,F110-100,26,9992M74G05-F,Seamless,Firth_Rixson,Monroe,1=36,$14.77 ,$14.47 ,Yes, (0.30), (7.80), 376.22 ,,,,,,,,
92P-DYKES         ,4004M76G04,PCS FWD LINER KIT,20,Yes,61701-MOELLER MANUFACTURING                   ,F110-100,26,9992M74G05-F,Seamless,Firth_Rixson,Monroe,1=36,$14.77 ,$14.47 ,Yes, (0.30), (7.80), 376.22 ,,,,,,,,
333-LEADER        ,9992M74G05,LINER STG4 MIL,,Yes,62413-BRITT AERO                              ,F118,1181,9992M74G05-F,Seamless,Firth_Rixson,Monroe,1=36,$14.77 ,$14.47 ,Yes, (0.30), (354.30)," 17,089.07 ",,,,,,,,
92P-DYKES         ,9992M74G05,LINER STG4 MIL,1,Yes,61701-MOELLER MANUFACTURING                   ,F118,1181,9992M74G05-F,Seamless,Firth_Rixson,Monroe,1=36,$14.77 ,$14.47 ,Yes, (0.30), (354.30)," 17,089.07 ",,,,,,,,
950-CHIPMAN       ,L41022P06,"SEAL,VANES STG1",,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,LM,8,L41022P05,Seamless,Firth_Rixson,Forged Metals (FMI),1=22,$20.50 ,$20.09 ,Yes, (0.41), (3.28), 160.72 ,,,,,,,,
952-NEAL          ,5129T69P02,SHROUD COMPRESSOR STATOR STAGE 4,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF34 ,1337,4128T16P01,Seamless,Firth_Rixson,Monroe,1=11,$21.91 ,$21.45 ,Yes, (0.46), (615.02)," 28,678.65 ",,,,,,,,
952-NEAL          ,5129T69P01,SHROUD COMPRESSOR STATOR STAGE 4,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF34 ,7397,4128T16P01,Seamless,Firth_Rixson,Monroe,1=11,$21.91 ,$21.45 ,Yes, (0.46)," (3,402.62)"," 158,665.65 ",,,,,,,,
951-WELLING       ,9644M06P03,CLAMP HUB,1,Yes,14750-B&F MACHINE                             ,CF6-6,108,TF9644M06P03,Seamless,Firth_Rixson,Forged Metals (FMI),1=18,$25.19 ,$24.69,Yes, (0.50), (54.00)," 2,666.52 ",,,,,,,,
950-CHIPMAN       ,L41022P05,"SEAL,VANES STG1",,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,LM,6,L41022P05,Seamless,Firth_Rixson,Forged Metals (FMI),1=18,$25.05 ,$24.55 ,Yes, (0.50), (3.00), 147.30 ,,,,,,,,
950-CHIPMAN       ,4080T44P01,CONNECTOR,,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,F414,11,4080T44P01,Seamless,Firth_Rixson,Monroe,1=143,$24.85 ,$24.35 ,Yes, (0.50), (5.50), 267.85 ,,,,,,,,
412-GOLDFARB      ,2038M43G01,"SHROUD,STG 3",1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,F110/F101/F118,282,1277M88P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=9,$24.78 ,$24.28 ,Yes, (0.50), (141.00)," 6,846.96 ",,,,,,,,
332-KLAYER        ,2038M43G01,"SHROUD,STG 3",,Yes,28138-ADOM ENGINEERING                        ,F110/F101/F118,282,1277M88P01,Seamless,Firth_Rixson,Monroe,1=9,$24.78 ,$24.28 ,Yes, (0.50), (141.00)," 6,846.96 ",,,,,,,,
332-KLAYER        ,4050T91P01,STG 2 SHR RETN,,Yes,49162-JET INDUSTRIES                          ,T64,12,4050T90G01,Seamless,Firth_Rixson,Monroe,1=120,$27.86 ,$27.31 ,Yes, (0.55), (6.60), 327.72 ,,,,,,,,
412-GOLDFARB      ,2038M43G02,"SHROUD,STG 3",1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,F110/F101/F118,177,1277M88P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=8,$27.88 ,$27.32 ,Yes, (0.56), (99.12)," 4,835.64 ",,,,,,,,
332-KLAYER        ,2038M43G02,"SHROUD,STG 1",,Yes,28138-ADOM ENGINEERING                        ,F110/F101/F118,177,1277M88P01,Seamless,Firth_Rixson,Monroe,1=8,$27.88 ,$27.32 ,Yes, (0.56), (99.12)," 4,835.64 ",,,,,,,,
412-GOLDFARB      ,5026T64G13,SHROUD-COMPR-S1,1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,CF34 ,3,9899539-426P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=7,$27.84 ,$27.28 ,Yes, (0.56), (1.68), 81.84 ,,,,,,,,
412-GOLDFARB      ,5026T64G11,SEAL SHROUD,1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,CF34 ,25,9899539-426P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=7,$27.84 ,$27.28 ,Yes, (0.56), (14.00), 682.00 ,,,,,,,,
412-GOLDFARB      ,5026T64G14,SHROUD-COMPR-S1,1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,CF34 ,58,9899539-426P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=7,$27.84 ,$27.28 ,Yes, (0.56), (32.48)," 1,582.24 ",,,,,,,,
952-NEAL          ,5129T68P02,SHROUD COMPRESSOR STATOR STAGE 3,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF34 ,1063,4128T15P01,Seamless,Firth_Rixson,Monroe,1=9,$28.78 ,$28.22 ,Yes, (0.56), (595.28)," 29,997.86 ",,,,,,,,
952-NEAL          ,5129T68P01,SHROUD COMPRESSOR STATOR STAGE 3,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF34 ,4873,4128T15P01,Seamless,Firth_Rixson,Monroe,1=9,$28.78 ,$28.22 ,Yes, (0.56)," (2,728.88)"," 137,516.06 ",,,,,,,,
412-GOLDFARB      ,5026T62G11,SHROUD-COMPR-S2,1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,CF34 ,63,9899539-426P02,Seamless,Firth_Rixson,Forged Metals (FMI),1=7,$28.91 ,$28.34 ,Yes, (0.57), (35.91)," 1,785.42 ",,,,,,,,
412-GOLDFARB      ,5026T62G10,SEAL SHROUD,1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,CF34,7,9899539-426P02,Seamless,Firth_Rixson,Forged Metals (FMI),1=7,$28.91 ,$28.34 ,Yes, (0.57), (3.99), 198.38 ,,,,,,,,
951-WELLING       ,4050T90G01,STG1 SHRD RETN,1,Yes,14750-B&F MACHINE                             ,UNKNOWN,148,4050T90G01MR10,Seamless,Firth_Rixson,Monroe,1=120,29.46,$28.87 ,Yes, (0.59), (87.32)," 4,272.76 ",,,,,,,,
332-KLAYER        ,5079T03P01,"SHIELD, BOLT",,Yes,49162-JET INDUSTRIES                          ,CF34 ,216,5079T03P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=7,$30.97 ,$30.35 ,Yes, (0.62), (133.92)," 6,555.60 ",,,,,,,,
333-LEADER        ,9502M47P01,"COLLAR, SEAL",,Yes,65585-NUMET MACHINING TECHNIQUES              ,F118,61,TF-9502M47P01,Seamless,Firth_Rixson,Monroe,1=3,$23.33 ,$22.71 ,Yes, (0.62), (37.82)," 1,385.31 ",,,,,,,,
333-LEADER        ,4001M69G01,HPCS SHROUD KIT,2,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF6/LM6000,71,9379M40P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=1,$33.79 ,$33.11 ,Yes, (0.68), (48.28)," 2,350.81 ",,,,,,,,
333-LEADER        ,4001M69G01,HPCS SHROUD KIT,2,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF6/LM6000,71,9379M40P02,Seamless,Firth_Rixson,Forged Metals (FMI),1=1,$33.79 ,$33.11 ,Yes, (0.68), (48.28)," 2,350.81 ",,,,,,,,
92P-DYKES         ,4096694-903P02,SEGMENT,,Yes,61701-MOELLER MANUFACTURING                   ,T700,461,4096694-903P02,Seamless,Firth_Rixson,Monroe,1=4,$35.34 ,$34.63 ,Yes, (0.71), (327.31)," 15,964.43 ",,,,,,,,
951-WELLING       ,4096694-903P02,SEGMENT,1,Yes,14750-B&F MACHINE                             ,T700,461,4096694-903P02,Seamless,Firth_Rixson,Monroe,1=4,35.34,$34.63 ,Yes, (0.71), (327.31)," 15,964.43 ",,,,,,,,
92P-DYKES         ,4096694-905P02,SEGMENT,,Yes,61701-MOELLER MANUFACTURING                   ,TF34,264,4096694-905P02,Seamless,Firth_Rixson,Monroe,1=4,$36.16 ,$35.44 ,Yes, (0.72), (190.08)," 9,356.16 ",,,,,,,,
951-WELLING       ,4096694-905P02,SEGMENT,1,Yes,14750-B&F MACHINE                             ,TF34,264,5096694-905P02,Seamless,Firth_Rixson,Monroe,1=4,$36.16,$35.44,Yes, (0.72), (190.08)," 9,356.16 ",,,,,,,,
92P-DYKES         ,4055T72P01,"RING,SEAL-AFT",,Yes,61701-MOELLER MANUFACTURING                   ,F404,105,17A137-316P01 ,Seamless,Firth_Rixson,Monroe,1=12,$36.73 ,$36.00 ,Yes, (0.73), (76.65)," 3,780.00 ",,,,,,,,
92P-DYKES         ,4096694-904P02,SEGMENT,,Yes,61701-MOELLER MANUFACTURING                   ,T700,420,4096694-904P02,Seamless,Firth_Rixson,Monroe,1=4,$37.93 ,$37.18 ,Yes, (0.75), (315.00)," 15,615.60 ",,,,,,,,
951-WELLING       ,4096694-904P02,SEGMENT,1,Yes,14750-B&F MACHINE                             ,T700,420,4096694-904P02,Seamless,Firth_Rixson,Monroe,1=4,$37.93,$37.18,Yes, (0.75), (315.00)," 15,615.60 ",,,,,,,,
443-SHINE         ,5116T71G03,COMPRESSOR CASE ASSY,,Yes,62169-GKN AEROSPACE NEWINGTON LLC             ,F414,129,23680879,Seamless,Firth_Rixson,Forged Metals (FMI),1=1,"$2,923.00 ",,No," (2,923.00)"," (377,067.00)", -   ,,,,,,,,
443-SHINE         ,2500M47P01,Diffuser,,Yes,00763-TURBINE ENGINE COMPONENTS TEXTRON       ,LEAP A/C,12,4013748-223P01,Seamless,Firth_Rixson,Schlosser,,,,NPI, -   , -   , -   ,,Yes,,,,,,
951-WELLING       ,4096708-584P07,CFE738 STG 3 SEGMENT - BORESCOPE HOLE,1,Yes,14750-B&F MACHINE                             ,CFE738,1,TF4096708-584P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=18,39.85,$39.06 ,Yes, (0.79), (0.79), 39.06 ,,,,,,,,
951-WELLING       ,4096708-584P06,GE38 STG. 3 SEGMENT,1,Yes,14750-B&F MACHINE                             ,CFE738,38,4096708-584P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=18,$39.85,$39.06,Yes, (0.79), (30.02)," 1,484.28 ",,,,,,,,
332-KLAYER        ,1584M76P01,NUT SPANNER,,Yes,49162-JET INDUSTRIES                          ,CF6,37,1584M76P01,Seamless,Firth_Rixson,Monroe,1=3,$39.90 ,$39.10 ,Yes, (0.80), (29.60)," 1,446.70 ",,,,,,,,
412-GOLDFARB      ,L43802G01,"SHROUD, COMP STATOR - IGV",1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,LM2500,374,L43802P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=2,$42.84 ,$41.98 ,Yes, (0.86), (321.64)," 15,700.52 ",,,,,,,,
412-GOLDFARB      ,L43802G01,"SHROUD, COMP STATOR - IGV",1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,LM2500,374,L43802P02,Seamless,Firth_Rixson,Forged Metals (FMI),1=2,$42.84 ,$41.98 ,Yes, (0.86), (321.64)," 15,700.52 ",,,,,,,,
332-KLAYER        ,4096708-585P06,STG 4 SEGMENT,,Yes,49162-JET INDUSTRIES                          ,GE38,82,4096708-585P01,Seamless,Firth_Rixson,Monroe,1=18,$45.00 ,$44.10 ,Yes, (0.90), (73.80)," 3,616.20 ",,,,,,,,
332-KLAYER        ,9691M37P01,"RING, SEAL",,Yes,49162-JET INDUSTRIES                          ,LM2500,72,9691M37P01,Seamless,Firth_Rixson,Schlosser,1=1,$44.81 ,$43.91 ,Yes, (0.90), (64.80)," 3,161.52 ",,,,,,,,
951-WELLING       ,4019T65P01,NUT LOCKING,1,Yes,14750-B&F MACHINE                             ,CF34,55,TF4019T65P01,Seamless,Firth_Rixson,Monroe,1=2,$46.40 ,$45.47 ,Yes, (0.93), (51.15)," 2,500.85 ",,,,,,,,
950-CHIPMAN       ,5141T11G01,ACTUATOR RING - STG1,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CF34,716,5141T11P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=2,$48.75 ,$47.78 ,Yes, (0.97), (694.52)," 34,210.48 ",,,,,,,,
950-CHIPMAN       ,5141T34G01,ACTUATOR RING - STG4,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CF34,703,5141T34P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=2,$48.75 ,$47.78 ,Yes, (0.97), (681.91)," 33,589.34 ",,,,,,,,
412-GOLDFARB      ,5026T65G07,IGV SHROUD,1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,CF34 ,130,9899539-426P03,Seamless,Firth_Rixson,Schlosser,1=3,$49.27 ,$48.28 ,Yes, (0.99), (128.70)," 6,276.40 ",,,,,,,,
950-CHIPMAN       ,5141T26G01,ACTUATOR RING - STG2,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CF34,696,5141T26P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=2,$49.72 ,$48.72 ,Yes, (1.00), (696.00)," 33,909.12 ",,,,,,,,
950-CHIPMAN       ,5141T27G01,ACTUATOR RING - STG3,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CF34,710,5141T27P01,Seamless,Firth_Rixson,Forged Metals (FMI),1=2,$49.72 ,$48.72 ,Yes, (1.00), (710.00)," 34,591.20 ",,,,,,,,
332-KLAYER        ,4092T43P03,"RING,RET.",,Yes,49162-JET INDUSTRIES                          ,F414,20,4092T43P02,Seamless,Firth_Rixson,Forged Metals (FMI),1=5,$51.78 ,$50.75 ,Yes, (1.03), (20.60)," 1,015.00 ",,,,,,,,
951-WELLING       ,4092T43P03,"RING,RET.",1,Yes,14750-B&F MACHINE                             ,F414,20,4092T43P02,Seamless,Firth_Rixson,Monroe,1=5,$51.78,$50.75,Yes, (1.03), (20.60)," 1,015.00 ",,,,,,,,
332-KLAYER        ,9046M14P02,PLAIN NUT,,Yes,49162-JET INDUSTRIES                          ,CF6,66,9046M14P02,Seamless,Firth_Rixson,Forged Metals (FMI),1=3,$51.59 ,$50.55 ,Yes, (1.04), (68.64)," 3,336.30 ",,,,,,,,
412-GOLDFARB      ,L43801G02,"SHROUD, IGV",1,Yes,85472-SUN COUNTRY INDUSTRIES                  ,CF6-6,328,L43801P02,Seamless,Firth_Rixson,Forged Metals (FMI),1=2,$53.19 ,$52.13 ,Yes, (1.06), (347.68)," 17,098.64 ",,,,,,,,
333-LEADER        ,9502M33P01,SEAL,,Yes,02800-AIRCRAFT PRECISION PRODUCTS             ,F118,61,9502M33P01,Seamless,Firth_Rixson,Monroe,1=1,$56.33 ,$55.21 ,Yes, (1.12), (68.32)," 3,367.81 ",,,,,,,,
952-NEAL          ,1284M82G07,SHROUD STG 2,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,F110  ,185,1284M82G07,Seamless,Firth_Rixson,Forged Metals (FMI),1=7,$59.14 ,$58.00 ,Yes, (1.14), (210.90)," 10,730.00 ",,,,,,,,
332-KLAYER        ,1322M34P01,4R OR NUT,,Yes,49162-JET INDUSTRIES                          ,CF6,110,1322M34P01,Seamless,Firth_Rixson,Monroe,1=1,$57.96 ,$56.80 ,Yes, (1.16), (127.60)," 6,248.00 ",,,,,,,,
332-KLAYER        ,1663M74P01,"NUT,PLAIN ROUN",,Yes,49162-JET INDUSTRIES                          ,CF6,175,1663M74P01,Seamless,Firth_Rixson,Monroe,1=2,$58.38 ,$57.21 ,Yes, (1.17), (204.75)," 10,011.75 ",,,,,,,,
332-KLAYER        ,L43315G01,NUT ASSY SPNR,,Yes,49162-JET INDUSTRIES                          ,LM6000,58,L43315P02,Seamless,Firth_Rixson,Monroe,1=1,$59.85 ,$58.66 ,Yes, (1.19), (69.02)," 3,402.28 ",,,,,,,,
