SUPPLIER,GE PART NUMBER,FORGE PART NUMBER,Machining Source,Machining Source,Engine ,WEIGHT,WRP,ALLOY,Mat''l Spec.,2011 $ per part,2012 raw mat'l,2012 Bar cost,2012,2012 $ per part,2013 $ per part,2014 $ per part
Welded Ring,4013522-239P03,4013522-239P03,Shenyang,,CFM56,83.27,40430,INC 718,B50TF15 CL-D,"$2,529.00", $24.96 ,"$2,078.42",$697.06,"$2,775.48","$2,710.00","$2,710.00"
Welded Ring,4013522-280P01,4013522-280P01F,SpaceCraft,,F414,17.44,40322,INC 718,B50TF15 CL-A,$519.07, $25.50 ,$444.72,$169.75,$614.47,$607.00,$607.00
Welded Ring,4014T01 G15,5266-01,Ferrotherm,,T64,8.04,30108,HAST X,AMS 5754,$271.77, $20.29 ,$163.13,$108.64,$271.77,$254.00,$254.00
Welded Ring,4014T03,TF4014T03 P03,Ferrotherm,,T64,8.83,30198,HAST X,AMS 5754,$468.72, $21.85 ,$192.94,$275.78,$468.72,$444.00,$444.00
Welded Ring,4014T04,TF4014T04 P03,Ferrotherm,,T64,13.67,30228,HAST X,AMS 5754,$450.09, $20.29 ,$277.36,$172.73,$450.09,$460.00,$460.00
Welded Ring,4014T11 G01,F1279-4,Steel Tool,,T58,6.87,23612,L 605,AMS 5759,$474.43, $46.25 ,$317.74,$156.69,$474.43,$460.00,$460.00
Welded Ring,4014T11 G02,F1279-4,Steel Tool,,T58,6.87,23612,L 605,AMS 5759,$474.43, $46.25 ,$317.74,$156.69,$474.43,$460.00,$460.00
Welded Ring,4051T66P01,4051T66P01,Barnes,Jet Industries,CT7,3.38,30223,HAST X,AMS 5754,$129.17, $22.78 ,$77.00,$58.19,$135.19,$130.00,$130.00
Welded Ring,4096697-586P01,TF4096697-586P01,Numet,Jet Industries,F414,15.01,40391,INC 718,B50TF15 CL-A,$422.72, $21.18 ,$317.91,$133.78,$451.69,$451.00,$451.00
Welded Ring,4096701-935P01,4096701-935P01,GE - Direct,,F404,4.95,40179,INC 718,B50TF15 CL-A,$267.16, $21.18 ,$104.84,$171.87,$276.71,$271.00,$271.00
Welded Ring,4096789-945P01,4096789945P01,Jet Industries,,T58,9.34,23100,INC 600,AMS 5665,$268.25, $21.03 ,$196.42,$93.12,$289.54,$289.00,$289.00
Welded Ring,4145T33G01,RM4145T33,Middleton,,CF34,46.49,40323,INC 718,B50TF15 CL-D,"$1,371.88", $25.43 ,"$1,182.24",$279.36,"$1,461.60","$1,461.00","$1,461.00"
Welded Ring,5031T03G09,9726-01,Ferrotherm,,F404/414,17.13,93012,909,C50TF95 CL-A,$639.16, $27.47 ,$470.56,$189.50,$660.06,$649.00,$649.00
Welded Ring,5033T02/5033T03/1935T51G01,10042313P01,Smith West,,F404/414,11.84,21211,347 SS,AMS 5646,$175.39, $5.31 ,$62.87,$112.52,$175.39,$170.00,$170.00
Welded Ring,5053T46,TF5053T46,Ferrotherm,,T700,7.05,23068,INC 600,AMS 5665,$210.21, $20.54 ,$144.81,$81.48,$226.29,$224.00,$224.00
Welded Ring,5053T52 G01,F1389-1,Steel Tool,,T64,6.67,23084,INC 600,AMS 5665,$172.23, $22.00 ,$146.74,$50.44,$197.18,$197.00,$197.00
