Item #,LTA,Site,2011 Defla-tion,2012 Defla-tion,2013 Defla-tion,2014 Defla-tion,2015 Defla-tion,2016 Defla-tion,2017 Defla-tion,Alloy Family,Alloy,Spec,Billet Dia.,Engine Program,GE P/N,Forging P/N,FR Site P/N,Alternate P/N,Nomenclature,Machining Source #1,Machining Source #2,Machining Source #3,Singles per Sleeve,Segments per Single, 2011 Price per Part ,2012 Price per Part,2013 Price per Part,2014 Price per Part,2015 Price per Part,2016 Price per Part,2017 Price per Part,Comments
1134,Base - 2,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718TM,C50TF103,8,LM2500,L16604G03,L16742P03,,,,Samsung,,,,," $7,950 ","$7,671.48","$7,402.98","$7,254.92","$7,109.82","$6,967.62","$6,828.27",made previously as a P02
1136,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,M152,C50TF68B,12,LM6000,L45010G10,9516S2000463,1389400,,,Samsung,  ,,,," $1,912 ","$1,902.29","$1,892.78","$1,854.92","$1,817.82","$1,781.47","$1,745.84",
1138,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,9.25,NA,1284M82G07,1284M82P01,,,,Union Machine,,,,, $427 ,$424.80,$422.67,$414.22,$405.93,$397.82,$389.86,
1139,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,9.25,NA,1284M82G08,1284M82P01,,,,UEC-WB,EMI,TSS,,, $610 ,$607.27,$604.23,$592.15,$580.30,$568.70,$557.32,
1142,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4144,14.25,GP7200,2070M22G05,2070M22P01,,,,UEC-WB,,,,, $888 ,$883.38,$878.97,$861.39,$844.16,$827.28,$810.73,
1143,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4144,14.25,GP7200,2071M82G01,2072M64P01,,2072M,,UEC-WB,,,,, $882 ,$877.59,$873.20,$855.74,$838.62,$821.85,$805.42,
1144,Base - 2,SFC,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4144,14.25,GP7200,2071M84G01,2072M,,,,UEC-WB,B&F,,,, $882 ,$877.59,$873.20,$855.74,$838.62,$821.85,$805.42,
1145,Base - 2,SFC,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4144,14.25,GP7200,2071M86G01,2072M,,,,UEC-WB,,,,, $882 ,$877.59,$873.20,$855.74,$838.62,$821.85,$805.42,
1146,Base - 2,SFC,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4144,14.25,GP7200,2071M88G01,2072M,,,,UEC-WB,,,,, $882 ,$877.59,$873.20,$855.74,$838.62,$821.85,$805.42,
1151,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4144,6,CFM56-2/3,2038M42G01/2038M42G02/9994M18G03,9994M18P01,,,,Adom,Barnes-Singapore,Moeller,,, $115 ,$114.89,$114.31,$112.03,$109.79,$107.59,$105.44,
1152,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4144,6,CFM56-2/3,9994M18G04,9994M18G04,,,,UEC-WB,Moeller,,,, $115 ,$114.89,$114.31,$112.03,$109.79,$107.59,$105.44,
1153,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4144,6,CFM56-2/3,9994M18G05,9994M18G05,,,,UEC-WB,Moeller,,,, $115 ,$114.89,$114.31,$112.03,$109.79,$107.59,$105.44,
1154,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4144,6,CFM56-2/3,9994M18G06,9994M18G06,,,,UEC-WB,Moeller,,,, $115 ,$114.89,$114.31,$112.03,$109.79,$107.59,$105.44,
1155,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4144,6,CFM56-2/3,9994M18G09,M86,,,,UEC-WB,,,,, $115 ,$114.89,$114.31,$112.03,$109.79,$107.59,$105.44,
1156,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4144,6,CFM56-2/3,9994M18G10,M86,,,,UEC-WB,,,,, $115 ,$114.89,$114.31,$112.03,$109.79,$107.59,$105.44,
1157,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340,AMS 6415,4,CF6-80C,1322M34P01,1322M34P01,,,,Turbomecanica,Jet Industries,,,, $179 ,$178.32,$177.43,$173.88,$170.40,$166.99,$163.65,
1160,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,410,AMS 5612,4,CF6-50,1663M74P01,1663M74P01,964131,,,Turbomecanica,,,,, $120 ,$119.74,$119.14,$116.76,$114.42,$112.14,$109.89,
1161,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340VAR,AMS 6414,4,GE90-115B,1686M12P02,1686M12P02,968971,,,Turbomecanica,Evergreen,,,, $114 ,$112.94,$112.37,$110.13,$107.92,$105.76,$103.65,Evergreen is new machine source and  using bar
1162,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340,AMS 6415,4,GE90-115B,1686M38P03,1686M38P03,910723002,,,Turbomecanica,,,,, $157 ,$156.43,$155.65,$152.53,$149.48,$146.49,$143.56,
1165,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340VAR,AMS 6414,4,GP7200,2041M73P01,2041M73P01,,,,Turbomecanica,,,,, $443 ,$441.09,$438.88,$430.10,$421.50,$413.07,$404.81,
1168,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,M250,B50TF95,4,GP7200,2087M23P01,2087M23P01,1207679,,,Turbomecanica,,,,," $1,265 ","$1,259.16","$1,252.86","$1,227.80","$1,203.25","$1,179.18","$1,155.60",Corrected deflation 7/27/09
1169,Base - 2,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,4,CF34-3,5079T03P01,5079T03P01,,,,Turbomecanica,,,,," $1,663 ","$1,604.84","$1,548.67","$1,517.70","$1,487.34","$1,457.60","$1,428.44",COS is 1=7 sleeve
1170,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,M250,B50TF95,3,LM5000/CF6-50,9010M82P03,9010M82P03,9935287,,,Turbomecanica,,,,, $263 ,$262.03,$260.72,$255.50,$250.39,$245.38,$240.48,Corrected deflation 7/27/09
1171,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,M250,B50TF95,3,LM6000/CF6-80,9047M29P03,9047M29P03,871203752,,,Jet Industries,McMellon,,,, $326 ,$324.22,$322.60,$316.15,$309.83,$303.63,$297.56,Corrected deflation 7/27/09
1172,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340,AMS 6415,3,CF6-80,9218M94G04,9218M94P01,920228012,,,Turbomecanica,,,,, $115 ,$114.77,$114.19,$111.91,$109.67,$107.48,$105.33,
1173,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,M250,B50TF95,3,CF6-80C/SPARES,9228M94P03,9228M94P03,9940371,,,Turbomecanica,Jet Industries,,,, $258 ,$256.54,$255.26,$250.15,$245.15,$240.24,$235.44,Corrected deflation 7/27/09
1174,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340,AMS 6415,4,CF6-80,9273M61G02,9273M61P01,920623009,,,Turbomecanica,,,,, $101 ,$100.70,$100.20,$98.19,$96.23,$94.30,$92.42,
1175,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,6,CF6-80,9299M58P02,9299M58P02,1200528,,,Turbomecanica,,,,, $231 ,$229.39,$228.24,$223.68,$219.20,$214.82,$210.52,
1176,Base - 2,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,3,LM2500,9346M79G05,9346M79P05,871204185,,,TEI,Turbomecanica,,,, $260 ,$251.20,$242.41,$237.56,$232.81,$228.16,$223.59,
1177,Base - 2,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,4,LM2500,9346M80P02,9346M80P02,871204249,,,Turbomecanica,Shenyang Liming,,,, $331 ,$319.12,$307.95,$301.79,$295.75,$289.84,$284.04,
1180,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340,AMS 6415,4,NA,9392M53G02,9392M53P01,910731013,,,Turbomecanica,,,,, $71 ,$70.74,$70.39,$68.98,$67.60,$66.25,$64.92,
1181,Base - 2,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,WASP,AMS 5709,4,LM2500,9645M92P04,9645M92P04,,,,Jet Industries,Turbomecanica,,,, $584 ,$563.58,$543.85,$532.97,$522.32,$511.87,$501.63,
1182,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340,AMS 6415,3,LM2500,9661M56P02,9661M56P02,891212007,,,Turbomecanica,,,,, $127 ,$126.09,$125.46,$122.95,$120.50,$118.09,$115.72,
1183,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4.5,LM2500,9693M05P03,9693M05P03,871204390,,,Turbomecanica,APPI,,,, $203 ,$201.56,$200.56,$196.54,$192.61,$188.76,$184.99,
1185,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,6,LM7000,L57303P01,L57303P01,1207916,,,Turbomecanica,,,,, $985 ,$979.93,$975.03,$955.53,$936.42,$917.69,$899.33,
1186,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4.5,LM7000,L57307P01,L57307P01,1214124,,,Turbomecanica,,,,, $716 ,$712.70,$709.14,$694.95,$681.05,$667.43,$654.08,
1187,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340VAR,AMS 6414,4,LM7000,L57333G01,L57333P01,1207915,,,Turbomecanica,,,,, $272 ,$271.11,$269.75,$264.36,$259.07,$253.89,$248.81,
1192,Base - 2,FMI,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,AMS 4928,18,GE90-94B/115B,4005M36G02,2082M33G03 / G04,,,,Grosite,B&F,,,," $16,247 ","$15,597.12","$14,973.23","$14,673.77","$14,380.29","$14,092.69","$13,810.83",
2001,Base - Aug 08,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,WASP,AMS 5709,4,T700,6068T35G12/G15,6068T19P01,,,,Avio,Kerns,,,, $722 ,$697.21,$672.81,$659.35,$646.16,$633.24,$620.57,
2002,Base - Aug 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HS188,AMS 5772,10,GP7200,2254M46P04,2254M46-4-FRG,1207609,,,TCT,,,,," $14,923 ","$14,400.84","$13,896.81","$13,618.88","$13,346.50","$13,079.57","$12,817.98",
2003,Base - Aug 08,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HS230,AMS 5891,8,LM2500+,17A190-483G01/17A190-609G01,DL38038-301,,,,UEC-TH,,,,," $6,625 ","$6,393.28","$6,169.52","$6,046.13","$5,925.21","$5,806.70","$5,690.57",
2004,Base - Aug 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HS188,B50TF74,8,GE90-115B,1968M78P06,1968M78-4-FRG,1201682,,Inner Liner SPAD,TCT,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Spare for 1968M78P06-4-M; Different COS for forged ring--TCT welds sheet metal  to forging for GE Spad
2005,Base - Aug 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HS188,AMS 5772,10,GP7200,2254M46P02,2254M46-2-FRG,,,,TCT,,,,," $8,178 ","$7,891.53","$7,615.32","$7,463.02","$7,313.76","$7,167.48","$7,024.13",
2006,Base - Aug 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HS230,AMS 5891,8,GP7200,2254M46P06,2254M46-6-FRG,1207617,,,TCT,,,,," $6,107 ","$5,893.00","$5,686.74","$5,573.01","$5,461.55","$5,352.32","$5,245.27",
2007,Base - Aug 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HS188,AMS 5772,8,GP7200,2254M35P06,2254M35-2-FRG,1207613,,,TCT,,,,," $5,095 ","$4,916.46","$4,744.38","$4,649.50","$4,556.51","$4,465.38","$4,376.07",
2008,Base - Aug 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HS188,AMS 5772,10,GP7200,2254M35P04,2254M35-4-FRG,1207611,,,TCT,,,,," $13,860 ","$13,374.73","$12,906.61","$12,648.48","$12,395.51","$12,147.60","$11,904.65",
2009,Base - Aug 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HS188,AMS 5772,10,LMS100,L38200G06,L38594P02FORG,1212977,,,Danville,UEC-WB,,,," $8,413 ","$8,118.21","$7,834.08","$7,677.39","$7,523.85","$7,373.37","$7,225.90",
2010,Base - Aug 08,FRV,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-2-4-2,AMS 4976,8,CF34-10A,2204M47P01,313148-1,,,,Barnes-Ogden,,,,," $2,845 ","$2,731.06","$2,621.81","$2,569.38","$2,517.99","$2,467.63","$2,418.28",
2011,Base - Aug 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HS188,AMS 5772,8,LMS100,L38200G06,L38594P03FORG,1212978,,,Danville,UEC-WB,,,," $6,429 ","$6,204.28","$5,987.13","$5,867.39","$5,750.04","$5,635.04","$5,522.34",
2012,Base - Aug 08,FMI,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,AMS 4928,6,F414,51672-101/103,51672-303,,,,Barnes-Lansing,,,,," $1,506 ","$1,445.98","$1,388.14","$1,360.38","$1,333.17","$1,306.51","$1,280.38",
2013,Base - Aug 08,FRV,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-2-4-2,AMS 4976,9,CF34-10A,2204M45P01,313147,,,,Barnes-Ogden,,,,," $2,080 ","$1,997.01","$1,917.13","$1,878.78","$1,841.21","$1,804.38","$1,768.30",
2014,Base - Aug 08,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HS188,B50TF74,10,LMS100,L38699G01,D4013584-040P01,,,,UEC-TH,,,,," $11,293 ","$10,897.75","$10,516.32","$10,306.00","$10,099.88","$9,897.88","$9,699.92",Corrected billet price and forging price
2015,Base - Aug 08,FRV,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-2-4-2,AMS 4976,9,CF34-10A,2204M47P03,313149,,,,Barnes-Ogden,,,,," $1,850 ","$1,775.72","$1,704.69","$1,670.59","$1,637.18","$1,604.44","$1,572.35",
2016,Base - Aug 08,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,4,J85,5045T95G01,5045T95P01 (9405),,,,Columbia,,,,," $1,410 ","$1,360.68","$1,313.06","$1,286.80","$1,261.06","$1,235.84","$1,211.13",
2017,Base - Aug 08,FRV,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-2-4-2,AMS 4976,8,CF34-10A,2204M48P01,313145,,,,Barnes-Ogden,,,,," $1,786 ","$1,714.97","$1,646.37","$1,613.44","$1,581.17","$1,549.55","$1,518.56",
2018,Base - Aug 08,FRV,-4.00%,-1.00%,0.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-2-4-2,AMS 4976,13,GE90-94B,1987M78G03/4005M54G05,F1987M78-2,,,,UEC-TH,,,,," $13,378 ","$13,244.00","$13,244.00","$12,979.12","$12,719.54","$12,465.15","$12,215.84",No deflation through 2013
2020,Base - Aug 08,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,4,J85,5045T95G01,5045T95P03(9404),,,,Columbia,,,,," $1,138 ","$1,097.73","$1,059.31","$1,038.13","$1,017.36",$997.02,$977.08,
2021,Base - Aug 08,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,10,NA,6046T54G04,6046T39P27,,,,Kerns,,,,," $1,500 ","$1,447.70","$1,397.03","$1,369.09","$1,341.71","$1,314.88","$1,288.58",
2022,Base - Aug 08,FRV,0.00%,-1.00%,0.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-2-4-2,AMS 4976,12,GE90-94B,1953M80G03/4005M54G05,F1953M80-4,,,,UEC-TH,,,,," $5,532 ","$6,260.00","$6,260.00","$6,134.80","$6,012.10","$5,891.86","$5,774.02",No deflation through 2013
2023,Base - Aug 08,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,14.5,F101-102,1286M59G01,1286M97P01/1286M57P01,,,,EMI,,,,, $261 ,$259.34,$258.05,$252.89,$247.83,$242.87,$238.01,
2024,Base - Aug 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,600,AMS 5665,4,CF34-10,6078T52G01,6078T52P01-FG,1213766,,,Columbia,,,,," $1,692 ","$1,632.60","$1,575.46","$1,543.95","$1,513.07","$1,482.81","$1,453.16",
2025,Base - Aug 08,FRV,-4.00%,-1.00%,0.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-2-4-2,AMS 4976,12,GE90-94B,1953M81G05/4005M54G05,F1953M81-301,,,,UEC-TH,,,,," $6,734 ","$6,667.00","$6,667.00","$6,533.66","$6,402.99","$6,274.93","$6,149.43",No deflation through 2013
2026,Base - Aug 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,AMS 5663,3,GEnx,2087M42G01,2087M42P03,1213469,,,Kerns,,,,, $429 ,$413.78,$399.30,$391.31,$383.49,$375.82,$368.30,
2027,Base - Aug 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,WASP,AMS 5706,6,GEnx-1B,2303M31G01,2303M31P02,1213065,T110056-01,,EMI,UEC-Manchester,TEI,,," $2,482 ","$2,394.87","$2,311.05","$2,264.83","$2,219.54","$2,175.14","$2,131.64",SFC is also approved to make this part-made for UEC Manchester
2028,Base - Aug 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,WASP,AMS 5706,8,GEnx-1B,2303M31G03,2303M31P03,,T110063-01,,EMI,UEC-Manchester,,,," $1,694 ","$1,635.15","$1,577.92","$1,546.36","$1,515.43","$1,485.12","$1,455.42",Monroe is also approved to make this part-made for EMI
A001,Base - < Feb 08,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,7.5,F110,9341M73P01,9341M73,,,,Sun Country,,,,, $524 ,$521.34,$518.73,$508.36,$498.19,$488.23,$478.46,
A002,Base - < Feb 08,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2618,AMS 4132,8,F110,1282M44P03,1282M44,,,,Sun Country,,,,," $1,320 ","$1,313.01","$1,306.44","$1,280.31","$1,254.71","$1,229.61","$1,205.02",
A003,Base - < Feb 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718R,C50TF37,8,GP7200,2087M40P01,2047M17P01,GE-2047M17P01,,,Numet,DeMusz,Shenyang Liming,,," $3,793 ","$3,660.44","$3,532.33","$3,461.68","$3,392.45","$3,324.60","$3,258.10",
A004,Base - < Feb 08,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HAST X,AMS 5754,8,CF6-80C,9104M38P02,9104M38P02,,,,Paradigm-AZ,,,,," $3,806 ","$3,673.02","$3,544.47","$3,473.58","$3,404.11","$3,336.03","$3,269.31",
A005,Base - < Feb 08,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,8740,AMS 6322,4,NA,9732M38P03,9732M38P03,,,,WGI,,,,, $136 ,$135.16,$134.49,$131.80,$129.16,$126.58,$124.05,
A006,Base - < Feb 08,FRM,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,AMS 4928,3,NA,9732M38P01,9732M38P01,1211738,,,WGI,,,,, $338 ,$324.77,$311.78,$305.54,$299.43,$293.44,$287.58,
A007,Base - < Feb 08,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,14.5,CF6-80C,9379M61P03,9379M61P03,,TF9379M61P03,,UEC-Orillia,B&F,,,, $852 ,$848.17,$843.93,$827.05,$810.51,$794.30,$778.41,
A008,Base - < Feb 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718TM,C50TF81,10,F404,6049T70P03,5088T14P01,,,,Paradigm,,,,," $3,561 ","$3,436.74","$3,316.45","$3,250.12","$3,185.12","$3,121.42","$3,058.99",
A009,Base - < Feb 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718R,C50TF37,8,CFM56-5C/7,1873M65P02,4013522-236P02,,,,AIDC,SAM,FAMAT,,," $6,353 ","$6,130.96","$5,916.38","$5,798.05","$5,682.09","$5,568.45","$5,457.08","Replaces Line 911, BTF Project "
A010,Base - < Feb 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,909,C50TF95,8,CFM56-5C/7,1559M40G03,4013382-212P04,,,,AIDC,SAM,,,," $5,420 ","$5,229.96","$5,046.91","$4,945.98","$4,847.06","$4,750.11","$4,655.11","Replaces Line 906, BTF Project "
A011,Base - < Feb 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,R41,B50TF110,9.5,GE90-115B,2082M24G06,4013522-371P01,,,Fwd. Inner Nozzle Suppt.,UEC-WB,,,,," $15,128 ","$14,598.11","$14,087.17","$13,805.43","$13,529.32","$13,258.74","$12,993.56","Replaces Line 312, BTF Project "
A012,Base - < Feb 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HAST X,B50TF31,8,CFM56-2/3,1751M76P05,1751M76P05,,,,GKN Teleflex,,,,," $3,821 ","$3,686.86","$3,557.82","$3,486.67","$3,416.93","$3,348.59","$3,281.62",
A013,Base - < Feb 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HAST X,B50TF31,10,CFM56-2/3,1968M73P02,1968M73P02,,,,GKN Teleflex,,,,," $3,565 ","$3,439.75","$3,319.36","$3,252.97","$3,187.91","$3,124.16","$3,061.67",
A014,Base - < Feb 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,12,GE90-115B,2090M10G01,4013382-979P05,,,,FAST,Samsung,,,," $2,614 ","$2,522.63","$2,434.33","$2,385.65","$2,337.94","$2,291.18","$2,245.35","Replaces Line 1115, Buy to Fly Project"
A015,Base - < Feb 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,12,GE90-115B,2090M10G01,4013382-980P05,,,,Samsung,,,,," $3,355 ","$3,238.05","$3,124.72","$3,062.22","$3,000.98","$2,940.96","$2,882.14","Replaces Line 1116, Buy to Fly Project"
A016,Base - < Feb 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,R41,B50TF110,9.5,GE90-115B,2090M10G01,4013382-981P04,,,,FAST,Samsung,,,," $4,898 ","$4,726.13","$4,560.72","$4,469.50","$4,380.11","$4,292.51","$4,206.66","Replaces Line 1117, Buy to Fly Project"
A017,Base - < Feb 08,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,909,C50TF95,8,CF34-10,2070M43G01,4013522-316P02,,,,AIDC,Shenyang Liming,,,," $1,175 ","$1,134.27","$1,094.57","$1,072.68","$1,051.23","$1,030.20","$1,009.60","Replaces Line 917, BTF Project"
A018,Base - < Feb 08,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,6.5,CF34,9899539-426P04,9899539-426P04,,,,Serbin Machining,,,,, $442 ,$440.09,$437.89,$429.13,$420.55,$412.14,$403.89,Added on 1/2/2008
A019,Base - < Feb 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,6,GEnx,2303M75G03,4013536-325P01,1212972,,,Samsung,,,,," $2,651 ","$2,558.18","$2,468.64","$2,419.27","$2,370.89","$2,323.47","$2,277.00",Added on 12/13/2007
A020,Base - < Feb 08,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,10,GEnx,2303M75G03,4013536-326P01,1212973,,,Samsung,,,,," $5,819 ","$5,614.99","$5,418.47","$5,310.10","$5,203.89","$5,099.82","$4,997.82",Added on 12/13/2007
A022,Base - < Feb 08,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,6,GE90-94B,1694M98P02,1694M98P02,,,,B&F,,,,, $699 ,$695.91,$692.43,$678.58,$665.01,$651.71,$638.67,Added on 11/17/2007
