Item #,LTA,Site,2011 Defla-tion,2012 Defla-tion,2013 Defla-tion,2014 Defla-tion,2015 Defla-tion,2016 Defla-tion,2017 Defla-tion,Alloy Family,Alloy,Spec,Billet Dia.,Engine Program,GE P/N,Forging P/N,FR Site P/N,Alternate P/N,Nomenclature,Machining Source #1,Machining Source #2,Machining Source #3,Singles per Sleeve,Segments per Single, 2011 Price per Part ,2012 Price per Part,2013 Price per Part,2014 Price per Part,2015 Price per Part,2016 Price per Part,2017 Price per Part,Comments
109,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,6,GE90-94B,1709M18P02,TF1709M18P02,1201497,,,B&F,,,,, $871 ,$840.87,$811.44,$795.21,$779.31,$763.72,$748.45,COS is 1=6 sleeve
110,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,12,GE90-94B/115B,1709M29P05,TF1709M29P05,,,,B&F,,,,," $2,383 ","$2,299.61","$2,219.12","$2,174.74","$2,131.25","$2,088.62","$2,046.85",
111,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,6,GE90-94B,1711M52P02,4013522-021,,,,Jet Industries,,,,, $667 ,$643.68,$621.15,$608.73,$596.55,$584.62,$572.93,
121,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,909,C50TF95,8,CFM56-2/3,1795M32P01,1795M32P01,,,,GE Aviation,,,,," $4,840 ","$4,670.28","$4,506.82","$4,416.68","$4,328.35","$4,241.78","$4,156.95",
122,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,WASP R,C50TF90,8,F110,1796M29P01,4013337-101P01 / P02,,,,TEI,Fuji,,,," $3,989 ","$3,849.67","$3,714.93","$3,640.63","$3,567.82","$3,496.46","$3,426.54",
124,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,L605,AMS 5759,6,TF34,17A101-157P01,TF17A101-157P01,,,,Numet,,,,," $1,199 ","$1,157.04","$1,116.54","$1,094.21","$1,072.32","$1,050.88","$1,029.86",
131,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,903,B50TF151,6,T700,17A127-584P01,17A127-584P01,1201009,,,GE Aviation,,,,," $1,571 ","$1,516.26","$1,463.20","$1,433.93","$1,405.25","$1,377.15","$1,349.60",
140,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,909,C50TF95,8,CF34-3,17A137-590P01,TF17A137-590P01,1212750,,,Numet,Spacecraft,,,, $637 ,$614.55,$593.04,$581.18,$569.56,$558.17,$547.01,
160,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HAST X,B50TF31,3,T700,17A166-128G01,17A164-010P01,1210407,1212710,,Moeller,GE Aviation,,,, $159 ,$153.34,$147.98,$145.02,$142.12,$139.27,$136.49,
166,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,6,CF34,17A166-283G01 / 1938T28G02 / 2113M13,17A148-843P01 / 17A190-524P01,1213253,1215380,,Paradigm-AZ,TCT,,,, $858 ,$828.03,$799.05,$783.07,$767.41,$752.06,$737.02,
170,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,A286,AMS 5731,4,F404/F414,17A166-344P03,17A166-344P03,,,,GE Aviation,,,,, $402 ,$400.40,$398.40,$390.43,$382.62,$374.97,$367.47,
181,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HAST X,B50TF31,4,CFE738,17A166-825P01,17A166-825P01,,,,Paradigm,,,,," $1,339 ","$1,292.40","$1,247.17","$1,222.22","$1,197.78","$1,173.82","$1,150.35",
182,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HAST X,B50TF31,6,CFE738,17A166-826P01,17A166-826P01,,,,Paradigm,,,,," $1,259 ","$1,215.40","$1,172.86","$1,149.41","$1,126.42","$1,103.89","$1,081.81",
191,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HS188,B50TF74,6,CFM56,17A190-148P01,0,,,,UEC-WB,,,,," $1,599 ","$1,543.39","$1,489.37","$1,459.58","$1,430.39","$1,401.78","$1,373.75",
206,Base - 1,FRC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,8,GE90-115B,1805M12P04,4013437-212P01,,T100018-001,,TEI,,,,," $2,512 ","$2,423.81","$2,338.98","$2,292.20","$2,246.35","$2,201.43","$2,157.40",
207,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,10,GE90-94B,1805M15P04,4013437-151P02,,,,UEC-Asheville,,,,," $1,768 ","$1,706.42","$1,646.70","$1,613.76","$1,581.49","$1,549.86","$1,518.86",
208,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,R41,B50TF110,9.5,GE90-94B,1805M29P01,1805M29P01,,,,Barnes,,,,," $8,550 ","$8,250.71","$7,961.93","$7,802.69","$7,646.64","$7,493.71","$7,343.83",
209,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,10,GE90-94B,1805M56P04,4013437-206P02,,,,TEI,,,,," $3,532 ","$3,408.52","$3,289.22","$3,223.44","$3,158.97","$3,095.79","$3,033.88",
210,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,909,C50TF95,8,CFM56-2/3,1808M14P01,4013287-087P05,1212698,,,Paradigm,,,,," $1,374 ","$1,325.61","$1,279.21","$1,253.62","$1,228.55","$1,203.98","$1,179.90",
215,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,6,GE90-94B,1837M64P01,1837M64P01MR3,1200534,,,UEC-Asheville,,,,, $558 ,$555.09,$552.32,$541.27,$530.45,$519.84,$509.44,
216,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340VAR,AMS 6414,8,GE90-94B,1839M39P02,1839M39P02MR10,1200547,,,UEC-Asheville,,,,," $1,172 ","$1,166.14","$1,160.31","$1,137.11","$1,114.37","$1,092.08","$1,070.24",
218,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718R,C50TF37,6,GE90-94B,1839M96P01,4013428-299P02,1201115,,,Jet Industries,,,,," $2,331 ","$2,249.02","$2,170.31","$2,126.90","$2,084.36","$2,042.68","$2,001.82",
