Part Number,Nomenclature,Qty/Parent,Parent PN,Qty/Grand_Parent,Parent Nomen,QPE
1327M74P01,"SPACER,SEAL",1,L43510G14,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G15,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G16,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G17,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G18,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G19,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G20,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G21,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L57052G01,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,L57052G02,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,L57052G03,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,L57052G04,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,L57052G05,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,L60051G01,1,HPT ROTOR,1
1327M74P01,"SPACER,SEAL",1,L60051G03,1,HPT ROTOR,1
9299M76P08,"RING, DAMPENI",1,5700617G01,1,BASE ENGINE,1
9299M76P08,"RING, DAMPENI",1,738L553G01,1,LPT SHAFT KIT,1
9299M76P08,"RING, DAMPENI",1,738L553G02,1,LPT SHAFT KIT,1
9299M76P05,"RING, DAMPENI",1,1457M51G01,1,CPRSR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M53G01,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M53G02,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M53G03,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M53G04,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M53G05,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M53G06,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M53G07,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M53G08,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M53G09,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M53G10,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M53G11,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,1457M94G01,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,9255M38G01,1,ROTOR COMP,1
9299M76P05,"RING, DAMPENI",1,9255M38G02,1,ROTOR COMP,1
9299M76P05,"RING, DAMPENI",1,9255M38G03,1,ROTOR COMP,1
9299M76P05,"RING, DAMPENI",1,9255M38G04,1,ROTOR COMP,1
9299M76P05,"RING, DAMPENI",1,9255M38G05,1,ROTOR COMP,1
9299M76P05,"RING, DAMPENI",1,9255M38G06,1,ROTOR COMP,1
9299M76P05,"RING, DAMPENI",1,L43061G01,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,L43061G02,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,L43061G03,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,L43061G04,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,L43061G05,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,L43061G06,1,COMPR RTR ASSY,1
9299M76P05,"RING, DAMPENI",1,L43061G07,1,COMPR RTR ASSY,1
