Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,Comments
,2311M41G02,,0.5,Yes,89382-TEI,GenX,,T120063-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$533.00 ,$522.34 ,2015 po only
,2311M42G01,,0.5,Yes,89382-TEI,GenX,,T120065-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$488.00 ,$478.24 ,2015 po only
,2311M42G01,,0.5,Yes,89382-TEI,GenX,,T120064-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$334.00 ,$327.32 ,2015 po only
,2311M43G01,,0.5,Yes,89382-TEI,GenX,,T120067-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$404.00 ,$395.92 ,2015 po only
,2311M43G01,,0.5,Yes,89382-TEI,GenX,,T120066-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$391.00 ,$383.18 ,2015 po only
,2311M44G01,,0.5,Yes,89382-TEI,GenX,,T120068-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$329.00 ,$322.42 ,2015 po only
,2311M44G01,,0.5,Yes,89382-TEI,GenX,,T120069-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$392.00 ,$384.16 ,2015 po only
,2311M44G02,,0.5,Yes,89382-TEI,GenX,,T120068-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$329.00 ,$322.42 ,2015 po only
,2311M44G02,,0.5,Yes,89382-TEI,GenX,,T120069-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$392.00 ,$384.16 ,2015 po only
,2322M92P02,,0.1,Yes,89382-TEI,GenX,,T020266-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.40,"$3,313.04 ","$3,246.78 ",special calculation
