ID ,Finished Part Number ,Forging Part Number ,Nomenclature ,"Finished Part L (+.010 Tol.) ","Finished Part ID (-.005 Tol.) ",Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,GROSS WEIGHT,Share %,2016 QTY,2017 QTY,EP,VSE Initiated,VSE Phase ,"Alternate Part L (+.010 Tol.) ","Alternate Part ID (-.005 Tol.) ",Alternate Part OD (+.005 Tol.) ,Alternate Material Spec/Class,MACHINING SOURCE,Cut Weight (Lbs.) , LTA 2016 Price  , Alternate 2016 Price  ,Order Received From Machining Source (Y/N),Agreed Upon Shape (Y/N),Billet Commit Date,Supplier Commit ,First Shipment Quantity,Production Lead Time,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2462M27P02,D2462M27P02,Inner Baffle Aft Ring,0,0,0,HS188,B50TF74 CL-A,61.4,40,110,310,LEAP A/C,Terre Haute ,3,,,,,Terre Haute ,,$171,,Y,Y,12/1/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2462M27P03,D2462M27P03,Inner Baffle Fwd Baffle,0,0,0,HS188,B50TF74 CL-A,51.1,40,110,310,LEAP A/C,Terre Haute ,3,,,,,Terre Haute ,,$120,,Y,Y,12/1/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2609M11P01,D2609M11P01,Domeplate,0,0,0,HS188,B50TF74 CL-A,755.4,50,110,310,LEAP A/C,Terre Haute ,3,,,,,Terre Haute ,,"$5,992",,Y,Y,1/15/16,5/11/16,20 pcs ,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2611M11P01,D2611M11P01,Domeplate,0,0,0,HS188,B50TF74 CL-A,744.4,50,40,205,Leap-1B,Terre Haute ,3,,,,,Terre Haute ,,"$5,696",,Y,Y,1/15/16,5/6/16,3 pcs,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2460M47G01,2460M47P01.000R,"SEAL, STA-CDP",0.68,9.989,11.877,718plus,B50TF317 CL-A,52.1,50,110,310,LEAP A/C,21006-VSE-15-02514,3,,,,,Triumph ,61.3,$500,,N,,,,,, requesting quote 1=2 sleeve around Triumph sketch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2460M47G01,2460M47P02.000R,"SEAL, STA-CDP",2.223,9.989,12.627,I909,C50TF95 CL-A,48.2,50,110,310,LEAP A/C,21006-VSE-15-02515,3,2.293,9.874,12.742,,Triumph ,57.8,"$1,104"," $1,297.00 ",N,,,,,,quoted new sizes to Triumph 9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2460M62G02,2460M62P02.000R,"SEAL, STA-HPT FOS",0.647,12.183,13.725,GTD222,B50TF279 CL-A,44.8,20,110,310,LEAP A/C,21006-VSE-15-03868,4,0.73,11.93,13.81,,Xian ,61.4,$569, $718.00 ,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2460M62G02,2460M62P02.000R,"SEAL, STA-HPT FOS",0.647,12.183,13.725,GTD222,B50TF279 CL-A,44.8,50,110,310,LEAP A/C,21006-VSE-15-03868,4,,,,,Vertechs ,,$569,,N,,,,,,confirmed condition of supply with Vertech 9/4/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2482M35G02,2482M35P01.000R,"SEAL, TRANS-DUCT",0.535,20.013,22.463,R41,B50TF110 CL-C,157.5,50,110,310,LEAP A/C,21006-VSE-15-02517,4,,,,,Vertechs ,,$805,,N,,,,,,confirmed condition of supply with Vertech 8/27/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2482M33G01,2482M33P01.000R,"SEAL, HPT",2.174,12.068,14.515,I718,B50TF15 CL-D,52.4,50,110,310,LEAP A/C,21006-VSE-15-02519,4,,,,,AVIO,,"$1,111",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2482M33G01,2482M33P02.000R,"SEAL, HPT",1.446,14.214,16.111,I718,B50TF15 CL-D,73.8,50,110,310,LEAP A/C,21006-VSE-15-02520,4,,,,,AVIO,,$770,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2482M30P01,2482M30P01.000R,FWD INNER SEAL,1.509,14.696,17.676,HS188,B50TF74 CL-A,120.4,50,110,310,LEAP A/C,21006-VSE-15-02521,4,,,,,Truiumph - SanD ,,"$1,669",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2482M31P01,2482M31P01.000W,"SEAL,PLATE-FW",0.165,14.985,17.189,R41,B50TF110 CL-D ,72.3,30,110,310,LEAP A/C,21006-VSE-15-02651 ,5,,,,,Triumph - SanD ,,$465,,N,,,,,,confirmed condition of supply to Triumph  9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2596M81G02,2596M81P01.000W,SUPPORT,0.406,20.169,21.555,I718,B50TF15 CL-D,66.8,40,110,310,LEAP A/C,21006-VSE-15-02652,2,0.556,20.014,21.71,,EMI ,99.3,$360, $490.00 ,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2596M81G02,2596M81P03.000R,SUPPORT,0.321,23.357,26.607,R41,B50TF110 CL-E,217,30,110,310,LEAP A/C,21006-VSE-15-02653 ,2,0.567,23,26.962,,EMI ,369.5,$807," $1,294.00 ",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2596M86G01(will be M89),2596M86G01.002R,"SEAL, PRESSURE BALANCE",4.403,14.629,16.943,I718,B50TF15 CL-D,125.3,30,110,310,LEAP A/C,21006-VSE-15-02654,4,,,,,EMI ,,"$1,992",,N,,,,,,comfirmed condition of supply 8/31/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2468M79G01,2468M79P01.000R,"CASE,WISHBONE",3.899,17.045,20.942,I783,AMS 5940,177.7,40,110,310,LEAP A/C,21006-VSE-15-02655 ,5,3.959,16,21,,FAST,190,"$6,003"," $6,356.00 ",Y,Y,,2/5/16,5,18 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2468M79G01,2468M79P02.000R,"CASE,WISHBONE",1.7582,20.5996,24.908,I718,B50TF15 CL-D,235.8,40,110,310,LEAP A/C,21006-VSE-15-02656,5,2.17,20.34,25.02,,Liming ,162.2,"$2,006"," $2,698.00 ",Y,Y,11/1/15,2/12/16,8,18 weeks,order entered 9/21/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2596M82G01,2596M82G01.002R,PLATE,0.11,24.083,26.607,R41,B50TF110 CL-F,198.5,50,110,310,LEAP A/C,21006-VSE-15-02657 ,4,,,,,Liyang ,,$495,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2461M68P01,2461M68P01.000R,"SEAL,STA.AIRB",1.345,6.24,11.01,I718,B50TF15 CL-E,83.8,30,110,310,LEAP A/C,21006-VSE-15-02658 ,4,,,,,UEC Poland ,,$775,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2541M81G01,2541M81G01.002R,HPT CASE,7.509,23.401,26.647,718Plus,C50TF128 CL-A,417.8,20,40,205,Leap-1B,21006-VSE-15-02660 ,2,,,,,TEI ,,"$8,549",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2541M81G01,2541M81G01.002R,HPT CASE,7.509,23.401,26.647,718Plus,C50TF128 CL-A,417.8,40,40,205,Leap-1B,21006-VSE-15-02660 ,2,,,,,Samsung ,,"$8,549",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2547M12P01,2547M12P01.000R,"NUT, COUPLING - HPT ROTOR",0.985,4.515,5.113,Inco718-PQ DM,C50TF37 CL-D,13.7,30,40,205,Leap-1B,21006-VSE-15-02704 ,4,,,,,Sun Country ,,$297,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2548M29P02,2548M29P02.000R,"CASE, COMBUSTOR",14.184,20.262,26.804,718Plus,C50TF128 CL-A,1398,10,40,205,Leap-1B,21006-VSE-15-02705 ,2,,,,,AIDC ,,"$15,473",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2085M68P01,2085M68P01.000R,"CASE, COMBUSTOR",13.501,20.3656,26.591,718 Plus,C50TF128 CL-A,1278,10,110,310,LEAP A/C,21006-VSE-15-02706 ,2,,,,,GE Suzhou,,"$15,533",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2461M37P01,2461M37P01.000R,"NUT, COUPLING HPT ROTOR",0.985491,4.6026,5.2646,IN718,C50TF37 CL-D,14.7,40,150,515,Leap-1B/ AC,21006-VSE-15-02708 ,5,,,,,Aerocison - Chester ,,$314,,Y,Y,8/1/15,9/15/15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2552M01G01  2468M16G01,2635M61P01,"Blisk, Aft Arm, Cmpressor Rotor ",0,0,0,Ti 6-4,C50TF12 CL-I,#N/A,60,150,515,Leap-1B/ AC,Engineer wont push through due to NNS,0,,,,,West Jeff ,,"$1,248",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2468M18G01,2635M64P01 ,"Spool, Arm Aft Cmpressor Rotor",0,0,0,Ti-6242,C50TF39 CL-B,41.8,60,110,310,LEAP A/C,Engineer wont push through due to NNS,0,,,,,West Jeff ,,"$1,644",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2552M03G01,2468M30P02,"Spool, Arm Aft Cmpressor Rotor",0,0,0,Ti-6242,C50TF39 CL-B,65.5,60,40,205,Leap-1B,Engineer wont push through due to NNS,0,,,,,West Jeff ,,"$1,793",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2482M11G01,4013522-470P04,"Flange, Aft TCF",0,0,0,I718,B50TF15 CL-D,450.8,60,110,310,Leap-AC,21006-VSE-15-02717 ,2,,,,,Terre Haute ,,"$4,495",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2482M11G01,4013522-469P03,"Flange, Fwd TCF",0,0,0,I718,B50TF15 CL-D,123.8,50,110,310,Leap AC,21006-VSE-15-02724 ,4,,,,,EMO -Direct ,,"$1,300",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2482M17P01,2482M17P01.000R,FWD HANGER ,2.025,23.131,26.592,R41,B50TF110 CL-D,,50,110,310,LEAP A/C,21006-VSE-15-02725 ,4,,,,,Numet ,,"$3,280",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2468M80G01,4013726-330P02,"CASE, COMPRESSOR STATOR - AFT INNER",1.072,18.0081,19.665,M152,C50TF68 CL-B,70.8,25,110,310,LEAP A/C,21006-VSE-15-02758,5,,,,,PCC WB ,,$329,,N,,,,,,confirmed condition of supply to WB 9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2468M80G01,4013726-330P02,"CASE, COMPRESSOR STATOR - AFT INNER",1.072,18.0081,19.665,M152,C50TF68 CL-B,70.8,15,110,310,LEAP A/C,21006-VSE-15-02758,5,,,,,Samsung,,$329,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
