Finish Machine Supplier,Supplier Code,Identify if current or newly awarded part,GE Ordered Part Number  ie; Finish Machine Part #/Kit # Assembly#,Engine Program,"If Kit/Assembly,  Finish Part # that goes into Kit",# of Parts per Kit,Raw Material Part Number,Raw Material Source,Plant, 2016 Raw Material Price on a per unit part basis , 2016 Total price paid to R/M Source ie; sleeve price ,Yield (sleeve to unit ratio),"R/M Classification IE; Closed Die Forging, Seamless Ring, Flash Welded Ring","Material Type; IN718, Titanium, Rene,",Dimensions of Part ordered from Forger or reference sketch #,"State any operations performed by forger ie; Heat Treat, Parting, Machining, etc.",,QPA,QPE,Billet Diameter,Weight ,Weight Type,ID
TEI,89382,Current,2370M25P01,GenX,,,4013510-100P01,PCC,CARLTON," $7,843.00 "," $7,843.00 ",1,Seamless,AMS4928 Titanium,OD:30.62+-.03 ID:21.47 THK:5.48+-0.19,As forged,,,,,,,
TEI,89382,Current,2370M26P01,GenX,,,T100014-01,Alcoa,Suzhou, $597.00 , $597.00 ,1,Seamless,AMS5643 Steel,OD:24.95+-.05 ID:22.63 THK:1.76,"Machining, Aging",,,,,,,
TEI,89382,Current,2383M99P02,GenX,,,2383M56P02,PCC,CARLTON," $7,083.44 "," $7,083.44 ",1,Seamless,RENE 65,OD:26.08+-.04 ID:21.00 THK:0.925+-0.02,Machining,,,,,,,
TEI,89382,Current,2403M08P01,GenX,,,2410M33P01,PCC,CARLTON," $2,591.16 "," $2,591.16 ",1,Seamless,Inco 718,OD:24.980+-.02 ID:20.946 THK:0.769,Machining,,,,,,,
TEI,89382,Current,2444M11G01,GenX,,,T100006-01,Alcoa,Rancho Cucamonga," $2,123.00 "," $2,123.00 ",1,Seamless,AMS4311 Aluminum,OD:29.30 ID:23.42 THK:2.59,As forged??,,,,,,,
TEI,89382,Current,2444M11G01,GenX,,,T120085-01,Alcoa,Fontana, $730.00 , $730.00 ,1,Seamless,AMS4311 Aluminum,OD:29.028+-0.060 ID:23.712 THK:0.565,Machining,Line added by TEI. Replaced T100005-01 with CID,,,,,,
TEI,89382,Current,2444M12G01,GenX,,,T100006-01,Alcoa,Rancho Cucamonga," $2,123.00 "," $2,123.00 ",1,Seamless,AMS4311 Aluminum,OD:29.30 ID:23.42 THK:2.59,As Forged??,,,,,,,
TEI,89382,Current,2444M12G01,GenX,,,T120085-01,Alcoa,Fontana, $730.00 , $730.00 ,1,Seamless,AMS4311 Aluminum,OD:29.028+-0.060 ID:23.712 THK:0.565,Machining,Line added by TEI. Replaced T100005-01 with CID,,,,,,
TEI,89382,Current,2446M85G02,GenX,,,4013536-288P01,PCC,Carlton," $5,495.00 "," $5,495.00 ",1,Seamless,AMS4928 Titanium,OD:29.30 ID:23.42 THK:2.59,"Heat treat, Machining, FPI",,,,,,,
TEI,89382,Current,2464M45G02,GenX,,,T110044-01,Frisa,Frisa," $5,300.00 "," $5,300.00 ",1,Seamless,AMS4928 Titanium,OD:58.47+-0.120 ID:54.68 THK:4.09,"Heat treat, Machining, FPI",2014 Price,,,,,,
TSS Technolgies (Tool Sales),88085,new,9524M34G03,F101,N/A,N/A,9524M34G03-FG,Alcoa,Rancho Cucamonga," $9,975.00 "," $9,975.00 ",1,Seamless,Tit/AMS 4928,"55.860 OD x 47.940 ID x 2.310"" long",N/A,,,,,,,
Moeller,61701,Current,17A166-128G03  ,Spares,NA,NA,17A164-010P01,Alcoa,Rochester, $142.12 , $142.12 ,1,FR or FWR,Hastelloy X,Per Print,ROUGH MACHINING per print,,,,,,,
Moeller,61701,Current,17A166-526P03  ,T700/Spares,NA,NA,17A166-526P03SR,Welded Ring Products,WRP, $530.00 , $530.00 ,1,FR or FWR,Hastelloy X,14.454 ID x 16.768 OD x .970 lg forged to protect,N/A,,,,,18.78,,
Moeller,61701,Current,5071T33P01,CF34,1939T52G01,1,5071T33P01,Alcoa,Rochester, $116.25 , $116.25 ,1,FR or FWR,8740 ST,5.52 ID x 8.74 OD x 1.92 lg forged to protect,"HEAT TREAT, MPI?",,,,,,,
Moeller,61701,Current,2087M28P02     ,"GE90, GE9x",NA,NA,N/A - Not Negotiated,PCC,Carlton, $162.20 ," $1,622.00 ",10,FR or FWR,INCO 718,6.710 ID max x 7.310 OD min x 6.35 lg,HEAT TREAT,,,,,,,
Moeller,61701,New,2466M25P01     ,Leap,NA,NA,2466M25P01.000W,ALCOA (71%) /WELDED RING PRODUCTS (29%),Cleveland / Rochester, $91/$117 , $910 / $702  ,1=10/1=6,FR or FWR,INCO 718,14.898 ID 15.935 OD x 4.124 lg forged to protect/ 14.882 ID x 15.590 OD x 2.045 lg /,N/A,,,,,,,
Moeller,61701,Current,3049M45P01     ,"CF6, LM",NA,NA,NA- Not Negotiated,Alcoa,Rochester, $299.00 , $299.00 ,1,FR,INCO718,5.66 ID x 6.38 OD x 1.24 lg forged to protect,N/A,,,,,,,
Moeller,61701,Current,4055T72P01     ,"F404, LM",NA,NA,17A137-316P01,Alcoa,Rochester, $36.00 , $432.00 ,12,FWR,17-4PH SS,Per Print,"HEAT TREAT, MPI",,,,,,,
Moeller,61701,Current,4055T92P02     ,LM,NA,NA,Not Neg. 17A137-316P01,Alcoa,Rochester, $64.57 , $452.00 ,7,FWR,17-4PH SS,Per Print,"HEAT TREAT, MPI",,,,,,,
Moeller,61701,Current,4088T35P02     ,"CT7, T700",NA,NA,4088T35P02,Alcoa,Fontana, $5.85 , $937.00 ,160,FR,INCO 909,8.30 ID x 9.80 OD x 4.12 lg forged to protect,N/A,,,,,,,
Moeller,61701,Current,5051T48P02     ,CT7,NA,NA,5051T48P02,Alcoa,Rochester, $498.91 , $498.91 ,1,FR ,AM 355 SS,4.58 ID x 4.96 OD x 1.09 lg forged to protect,N/A,,,,,,,
Moeller,61701,Current,6054t60p01     ,"F404, LM",NA,NA,NA - Not Negotiated,Alcoa,Rochester, $294.00 , $294.00 ,1,FR or FWR,A 286,3.38 ID x 5.11 OD x 2.587 lg forged to protect,HEAT TREAT,,,,,,,
Moeller,61701,Current,6072T77P01     ,F404,NA,NA,6072T77P01,PCC,Carlton, $22.05 , $264.60 ,12,FR,6061 ALUM,17.93 ID x 19.12 OD x 4.75 lg forged to protect,N/A,,,,,,,
Moeller,61701,Current,9155M81P01     ,CF6,NA,NA,NA - Not Negotiated,Alcoa,Fontana, $639.00 , $639.00 ,1,FR or FWR,17-4PH SS,5.709 ID x 8.446 OD x 3.32 lg forged to protect,HEAT TREAT,,,,,,,
Moeller,61701,Current,9380M25P02     ,"CF6, LM",NA,NA,Forge # not in FR SS (listed by GE P/N),Alcoa,Rochester, $474.00 , $474.00 ,1,FR or FWR,A 286,5.975 ID x 6.43 OD x 3.6 lg forged to protect,HEAT TREAT,,,,,,,
Moeller,61701,Current,9602M47P10     ,LM,NA,NA,9602M47P10,Alcoa,Rochester, $116.00 , $116.00 ,1,FR or FWR,17-4PH SS,6.616 ID x 7.086 OD x 1.952 lg forged to protect,HEAT TREAT,,,,,,,
