ID,Part Number,Nomenclature ,QPA,QPE,GE NEG,Finished Part Supplier ,Engine Program,Engine Model,2015 QTY,Part Type,RM-Type,R/M Supplier,Plant,Yield ,Billet Diameter,Weight,Weight Type,Alloy,Spec,Flash Welding Permitted?,"Extend, Remove, or Negotiate?", R/M Unit Price 2014 , R/M Unit Price 2015 ,PO Amended  Y/N?, 2015 RM Delta , 2015 Material Deflation , 2015 Material Extended Value ,Machine Part Comments,NPI  - Leap/PP,Chip Revert  Part?,Alloy Family
44,4096691-927P01,RING STAGE 7,,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34,,381,4096691-927P04,Flash Welded,PCC,MTTP (TruForm),1=1,0,7.7,Bar,I-718,B50TF15,,, $288.07 , $282.30 ,Yes, $(5.77)," $(2,198.37)"," $107,556.30 ",,,,0
45,4028T41P03,AIR NOZZLE,1,1,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF34,,7,TF-4028T41P03,Flash Welded,PCC,MTTP (TruForm),1=1,0,18.9,Bar,HAST-X,0,,, $331.05 , $324.43 ,Yes, $(6.62), $(46.34)," $2,271.01 ",,,,0
46,4096691-925P01,RING STAGE 5,,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34,,374,4096691-925P04,Flash Welded,PCC,MTTP (TruForm),1=1,0,9.6,Bar,I-718,B50TF15,,, $344.65 , $337.76 ,Yes, $(6.89)," $(2,576.86)"," $126,322.24 ",,,,0
47,1327M72G02,SEAL,1,1,Yes,49162-JET INDUSTRIES                          ,CF6,,184,1327M72G02,Flash Welded,PCC,MTTP (TruForm),1=1,0,9.6,Bar,I-718,B50TF15,,, $346.58 , $339.65 ,Yes, $(6.93)," $(1,275.12)"," $62,495.60 ",,,,0
48,4096691-926P01,RING STAGE 6,,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34,,383,4096691-926P05,Flash Welded,PCC,MTTP (TruForm),1=1,0,10,Bar,I-718,B50TF15,,, $353.33 , $346.26 ,Yes, $(7.07)," $(2,707.81)"," $132,617.58 ",,,,0
49,4013081-518P03,FLANGE,,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,CFM56,,42,4013081-516P02,Flash Welded,PCC,MTTP (TruForm),1=1,0,10.8,0,I-718,0,,, $376.01 , $368.49 ,Yes, $(7.52), $(315.84)," $15,476.58 ",,,,0
50,9899556-844P01,FLANGE OUTER,,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,T64/CT64,,25,9899556-844,Flash Welded,PCC,MTTP (TruForm),1=1,0,14.88,0,I-600  ,0,,, $432.43 , $423.78 ,Yes, $(8.65), $(216.25)," $10,594.50 ",,,,0
51,L47452P01,"COVER,WINDAGE",1,1,Yes,14750-B&F MACHINE                             ,LM2500,,92,TFL47452P01,Flash Welded,PCC,MTTP (TruForm),1=6,0,78.6,Bar,I-718,B50TF15,,, $452.32 , $443.28 ,Yes, $(9.04), $(831.68)," $40,781.76 ",,,,0
52,9340M19G02,"SEAL, ROTATING,F110",1,1,Yes,02800-AIRCRAFT PRECISION PRODUCTS             ,F110/F101/F118,,34,9340M19G02,Flash Welded,PCC,MTTP (TruForm),1=1,0,14.92,Bar,I-718,B50TF15,,, $486.74 , $477.00 ,Yes, $(9.74), $(331.16)," $16,218.00 ",,,,0
53,4004M78G01,"LPTR SEAL KIT,F110",1,1,Yes,02800-AIRCRAFT PRECISION PRODUCTS             ,F101,,59,9340M19G02,Flash Welded,Pcc,MTTP (TruForm),1=1,0,0,0,0,0,,, $486.74 , $477.00 ,Yes, $(9.74), $(574.66)," $28,143.00 ",,,,0
54,9977010-076P01,INNER FLANGE,,,Yes,65585-NUMET MACHINING TECHNIQUES              ,F404,,18,TF-9977010-749,Flash Welded,PCC,MTTP (TruForm),1=1,0,14.8,Bar,I-718,B50TF15,,, $497.53 , $487.58 ,Yes, $(9.95), $(179.10)," $8,776.44 ",,,,0
55,9207M43P01,"RING, SEAL-TURBINE",1,1,Yes,65585-NUMET MACHINING TECHNIQUES              ,"CF6, LM2500",,164,TF-9207M43P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,18.83,Bar,HAST-X,0,,, $557.69 , $546.54 ,Yes, $(11.15)," $(1,828.60)"," $89,632.56 ",,,,0
56,9977013-825P01,SUMP FLANGE,,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,M&I,,24,9977013-845P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,18.4,0,I-718,0,,, $560.54 , $549.33 ,Yes, $(11.21), $(269.04)," $13,183.92 ",,,,0
57,4013084-882P03,FLANGE,,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,CFM56,,8,4013084-882P03,Flash Welded,PCC,MTTP (TruForm),1=1,0,0,0,0,0,,, $596.80 , $584.86 ,Yes, $(11.94), $(95.52)," $4,678.88 ",,,,0
58,9977010-080P01,AFT FLANGE,,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,,3,9977010-080P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,18.2,Bar,I-718,B50TF15,,, $602.22 , $590.17 ,Yes, $(12.05), $(36.15)," $1,770.51 ",,,,0
59,9531M94P02,SUPPORT SEAL 2,1,1,Yes,65585-NUMET MACHINING TECHNIQUES              ,F110/F101/F118,,99,9531M94P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,19.6,0,I-718,0,,, $618.50 , $606.13 ,Yes, $(12.37)," $(1,224.63)"," $60,006.87 ",,,,0
60,17A164-007P01,OUTER SHELL,,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CT7/ T700,,150,17A164-020P03,Flash Welded,PCC,MTTP (TruForm),1=1,0,15.2,0,HAST-X,0,,, $619.24 , $606.86 ,Yes, $(12.38)," $(1,857.00)"," $91,029.00 ",,,,0
61,17A164-007P01,OUTER SHELL,,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CT7/ T700,,150,17A164-020P03,Flash Welded,PCC,MTTP (TruForm), 1=1 ,0,15.2,0,HAST-X,0,,, $619.24 , $606.86 ,Yes, $(12.38)," $(1,857.00)"," $91,029.00 ",,,,0
62,4013082-781P01,INNER VANE RIN,,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,F110-100,,0,4013082-781P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,20.2,Bar,I-718,B50TF15,,, $633.18 , $620.52 ,Yes, $(12.66), $-   , $-   ,,,,0
63,17A137-918P01,"RING,AFT INNER",,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,F110-100,,33,17A137-918P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,19.1,Bar,HAST-X,0,,, $640.67 , $627.86 ,Yes, $(12.81), $(422.73)," $20,719.38 ",,,,0
64,17A137-918P01,"RING,AFT INNER",,,Yes,44278-PARADIGM PRECISION - MEX                ,F110-100,,33,17A137-918P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,19.1,Bar,HAST-X,0,,, $640.67 , $627.86 ,Yes, $(12.81), $(422.73)," $20,719.38 ",PCC new source,,,0
65,9977010-264P01,RING STIFFENER,,,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF6-6,,51,TF-9977010-264P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,10.7,Bar,TI 6-2-4-2,0,,, $642.89 , $630.03 ,Yes, $(12.86), $(655.86)," $32,131.53 ",,,,0
66,9977010-261P01,RING STIFFENER,,,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF6-6,,44,9977010-261P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,10.7,Bar,TI 6-2-4-2,0,,, $646.73 , $633.80 ,Yes, $(12.93), $(568.92)," $27,887.20 ",,,,0
67,2303M16G05,"ASSY, VANE, STG",1,1,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,GENX,,0,2303M21P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,0,0,0,0,,, $821.00 , $806.54 ,Yes, $(14.46), $-   , $-   ,,,,0
